wareh,capacity,buffer,QMKOPT,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,OPT,RND
2.0,20.0,0.0,29.256787,0.9302298,0.7933185,0.35078909999999996,0.1479235,3.1672284,0.154313,1.2498715999999999,0.154313,5.0740961,0.2820101
2.0,20.0,0.0,6.5484598,0.7319969000000001,0.0001407,0.0001511,0.1073439,0.7736468999999999,0.00012639999999999998,0.00014429999999999998,0.00015319999999999998,4.0007278,0.0003588
2.0,20.0,0.0,5.5739038,0.9942882,0.0002167,0.0002386,0.1228696,0.9880576999999999,0.0002167,0.0002459,0.0002384,9.8259092,0.0002553
3.0,20.0,0.0,269.7357484,2.5625791999999996,0.00015999999999999999,0.00017529999999999998,0.1735422,7.6564896000000005,0.00015739999999999998,0.0001624,0.00017999999999999998,20.5855192,0.0002908
3.0,20.0,0.0,232.8827672,0.7381785,0.00016360000000000002,0.0001952,0.0457059,0.4108701,0.000147,0.0001774,0.00018820000000000002,16.5532277,0.0001819
3.0,20.0,0.0,106.23599259999999,1.2393372999999999,0.0001457,0.0001674,0.0738254,10.7267119,0.0001431,0.0001607,0.0001919,17.7548082,0.0002925
2.0,24.0,4.0,23.2337284,0.7974035,0.0001619,0.000203,0.0,0.0,0.00015989999999999998,0.0001787,0.0001743,55.7063903,0.0950086
2.0,24.0,4.0,18.304067,1.2854234,0.000175,0.0001903,0.0,0.0,0.00017559999999999999,0.0002329,0.00019079999999999998,35.9369564,0.0002069
2.0,24.0,4.0,16.2095638,1.3220952,0.0001426,0.0001559,0.0,0.0,0.00015069999999999998,0.0001424,0.0001585,35.409993,0.0679872
3.0,24.0,4.0,4639.5717288,15.2496923,0.0001646,0.0002168,0.0,0.0,0.00015680000000000002,0.00019490000000000002,0.00017020000000000002,108340.428501,0.0485588
3.0,24.0,4.0,4103.3777866,2.6031408,0.0053143,0.0098092,0.0,0.0,0.0043285,0.0084912,0.0048484999999999995,24311.6307351,0.0023934
3.0,24.0,4.0,1376.5848529000002,0.7785070000000001,0.002625,0.0058009,0.0,0.0,0.0034414,0.0058916,0.0027370000000000003,3886.544594,0.0010412
