wareh,capacity,buffer,QMKOPT,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,OPT,RND
2.0,20.0,0.0,19.958046,0.5482587999999999,0.4546095,0.2703103,0.2306055,0.5484616999999999,0.0885672,1.170726,0.0885721,4.8222927,0.2020086
2.0,20.0,0.0,5.9041659,0.6098843,0.0001172,0.00014419999999999998,0.0765838,0.7369524999999999,0.000126,0.00014649999999999998,0.00013010000000000002,3.5079311,0.0009672
2.0,20.0,0.0,9.481135400000001,0.7650436,0.000136,0.0001363,0.1024717,3.3743614,0.00013460000000000002,0.0001384,0.0001394,2.7965374,8.27e-5
3.0,20.0,0.0,191.392541,2.6424313,0.000124,0.0001582,0.1162024,3.7627455,0.0001307,0.0001572,0.0001522,29.4575827,0.0003394
3.0,20.0,0.0,183.88529219999998,1.4430636,0.000167,0.0001976,0.1115455,2.3344584999999998,0.00015020000000000002,0.00018140000000000002,0.0001847,28.3446736,0.0001166
3.0,20.0,0.0,82.6335222,1.6445526000000001,0.0001918,0.0001848,0.0864239,11.0715123,0.0001587,0.0001657,0.00016649999999999998,14.2142473,0.0003165
2.0,24.0,4.0,22.5122192,0.2893648,0.000186,0.0001968,0.0,0.0,0.00017769999999999998,0.0001849,0.000196,92.6029735,0.0633182
2.0,24.0,4.0,17.7179319,2.8526775000000004,0.00017680000000000001,0.00020459999999999999,0.0,0.0,0.0001737,0.000176,0.00020009999999999998,55.0841877,0.0002362
2.0,24.0,4.0,10.2560661,1.3560595,0.0001361,0.0001417,0.0,0.0,0.0001318,0.0001527,0.0001531,60.7093553,0.0003492
3.0,24.0,4.0,3988.5092093,24.072336500000002,0.0001473,0.00017979999999999998,0.0,0.0,0.0001541,0.0001735,0.000156,63584.7320517,0.0890074
3.0,24.0,4.0,3559.3591625,12.7542227,0.0052796,0.008631,0.0,0.0,0.005559,0.0141092,0.0049388,51928.5854278,0.0056553
3.0,24.0,4.0,675.1405698,1.1199364,0.0022247,0.0047984,0.0,0.0,0.0021107,0.0071164999999999996,0.0013644,11619.812851,0.0778237
