wareh,capacity,buffer,QMKOPT,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,OPT,RND
2.0,20.0,0.0,0.3833333333333333,0.3833333333333333,0.3833333333333333,0.19999999999999996,0.3833333333333333,0.3833333333333333,0.1166666666666667,0.23333333333333328,0.23333333333333328,0.31666666666666665,0.0
2.0,20.0,0.0,0.44067796610169496,0.44067796610169496,0.44067796610169496,0.44067796610169496,0.44067796610169496,0.44067796610169496,0.2542372881355932,0.22033898305084743,0.22033898305084743,0.44067796610169496,0.0
2.0,20.0,0.0,0.4423076923076923,0.4423076923076923,0.4423076923076923,0.5384615384615384,0.4423076923076923,0.4423076923076923,0.2692307692307693,0.11538461538461542,0.11538461538461542,0.5384615384615384,0.0
3.0,20.0,0.0,0.36458333333333337,0.36458333333333337,0.30208333333333337,0.33333333333333337,0.29166666666666663,0.29166666666666663,0.21875,0.11458333333333337,0.11458333333333337,0.36458333333333337,0.0
3.0,20.0,0.0,0.3296703296703297,0.3296703296703297,0.2637362637362637,0.29670329670329665,0.25274725274725274,0.25274725274725274,0.17582417582417587,0.06593406593406592,0.06593406593406592,0.3296703296703297,0.0
3.0,20.0,0.0,0.35106382978723405,0.276595744680851,0.37234042553191493,0.3191489361702128,0.35106382978723405,0.276595744680851,0.26595744680851063,0.22340425531914898,0.22340425531914898,0.36170212765957444,0.0
2.0,24.0,4.0,0.5800000000000001,0.5800000000000001,0.52,0.54,0.0,0.0,0.36,0.4,0.36,0.48,0.0
2.0,24.0,4.0,0.6862745098039216,0.6862745098039216,0.7058823529411764,0.7058823529411764,0.0,0.0,0.4901960784313726,0.5490196078431373,0.3921568627450981,0.6274509803921569,0.0
2.0,24.0,4.0,0.6458333333333333,0.6458333333333333,0.6875,0.6875,0.0,0.0,0.5208333333333333,0.6458333333333333,0.5,0.625,0.0
3.0,24.0,4.0,0.28395061728395066,0.28395061728395066,0.28395061728395066,0.308641975308642,0.0,0.0,0.23456790123456794,0.3827160493827161,0.13580246913580252,0.32098765432098764,0.0
3.0,24.0,4.0,0.40740740740740744,0.37037037037037035,0.4320987654320988,0.2592592592592593,0.0,0.0,0.2592592592592593,0.2592592592592593,0.2592592592592593,0.40740740740740744,0.0
3.0,24.0,4.0,0.3924050632911392,0.4683544303797469,0.5063291139240507,0.3924050632911392,0.0,0.0,0.2911392405063291,0.21518987341772156,0.3924050632911392,0.5063291139240507,0.0
