wareh,capacity,buffer,QMKOPT,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,OPT,RND
2.0,20.0,0.0,8.646265,0.1426107,0.21545,0.11953459999999999,0.0407849,0.1585755,0.053393800000000005,0.4445423,0.0534017,1.4719301,0.0743036
2.0,20.0,0.0,1.6994479,0.128621,9.669999999999999e-5,0.0001534,0.0251814,0.1492075,9.669999999999999e-5,0.0001174,0.00011839999999999999,0.7429549,0.0001615
2.0,20.0,0.0,1.7611898000000001,0.09909970000000001,0.0001263,0.0001294,0.0360934,0.115076,0.0001305,0.00015529999999999998,0.0001224,0.7479718,0.0001459
3.0,20.0,0.0,148.205392,14.1499582,0.0001616,0.0002791,0.0614142,2.1340181,0.00014869999999999998,0.00018219999999999998,0.0001718,33.3403545,0.0002462
3.0,20.0,0.0,277.8046251,4.2037972,0.00016360000000000002,0.00019339999999999998,0.123465,4.7049671,0.0001596,0.0001866,0.0001953,28.261091,0.0002207
3.0,20.0,0.0,96.6450987,5.6553044,0.0001767,0.0003702,0.1626569,10.967445,0.0001915,0.00019099999999999998,0.00018570000000000001,21.1951006,0.000193
2.0,24.0,4.0,18.9499712,2.5193187000000004,0.0001506,0.00017099999999999998,0.0,0.0,0.0001601,0.0001851,0.0001697,181.9891624,0.043985
2.0,24.0,4.0,13.0916447,1.0978376,0.00013289999999999998,0.000148,0.0,0.0,0.0001291,0.0001473,0.0001526,83.881167,0.0010452
2.0,24.0,4.0,8.567853399999999,1.8104405000000001,0.00015959999999999998,0.0001872,0.0,0.0,0.0001534,0.0001668,0.000205,61.2611912,0.0006096
3.0,24.0,4.0,3922.5684148,27.3602657,0.0001745,0.00018899999999999999,0.0,0.0,0.00017219999999999998,0.00017979999999999998,0.0001763,66027.4124468,0.0685758
3.0,24.0,4.0,5290.972976399999,16.5061375,0.0009473000000000001,0.0012769,0.0,0.0,0.0015951000000000001,0.0025970999999999998,0.0004325,87222.4674672,0.007324
3.0,24.0,4.0,278.3049833,0.39062589999999997,0.0029313000000000004,0.0087953,0.0,0.0,0.003354,0.008805200000000001,0.0018277,4785.9765139,0.0013054
