wareh,capacity,buffer,QMKOPT,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,OPT,RND
2.0,20.0,0.0,0.15331230283911668,0.15331230283911668,0.12302839116719244,0.10536277602523658,0.15331230283911668,0.15331230283911668,0.12492113564668772,0.03848580441640381,0.03848580441640381,0.15331230283911668,0.0
2.0,20.0,0.0,0.16920152091254748,0.16920152091254748,0.16920152091254748,0.17427122940430928,0.16920152091254748,0.16920152091254748,0.11787072243346008,0.012040557667934104,0.012040557667934104,0.17427122940430928,0.0
2.0,20.0,0.0,0.20838627700127066,0.20838627700127066,0.20838627700127066,0.1543837357052097,0.19949174078780174,0.19949174078780174,0.13977128335451083,-0.017789072426937835,-0.017789072426937835,0.20838627700127066,0.0
3.0,20.0,0.0,0.17616033755274263,0.17616033755274263,0.16033755274261607,0.12763713080168781,0.1656118143459916,0.1656118143459916,0.15189873417721522,-0.009493670886076,-0.009493670886076,0.18565400843881852,0.0
3.0,20.0,0.0,0.1821989528795811,0.1821989528795811,0.16649214659685863,0.13403141361256543,0.17172774869109952,0.17172774869109952,0.15811518324607332,-0.0020942408376962707,-0.0020942408376962707,0.19162303664921465,0.0
3.0,20.0,0.0,0.1900647948164147,0.18466522678185748,0.16522678185745143,0.18142548596112307,0.1900647948164147,0.1900647948164147,0.1900647948164147,0.011879049676025932,0.011879049676025932,0.19654427645788342,0.0
2.0,24.0,4.0,0.1963806970509383,0.1963806970509383,0.1963806970509383,0.1963806970509383,0.0,0.0,0.15884718498659522,0.16219839142091153,0.15884718498659522,0.1990616621983914,0.0
2.0,24.0,4.0,0.22402159244264508,0.22402159244264508,0.22402159244264508,0.22402159244264508,0.0,0.0,0.17543859649122806,0.14035087719298245,0.1761133603238867,0.22537112010796223,0.0
2.0,24.0,4.0,0.19707520891364905,0.20473537604456826,0.21100278551532037,0.21100278551532037,0.0,0.0,0.19707520891364905,0.10376044568245124,0.20334261838440115,0.2137883008356546,0.0
3.0,24.0,4.0,0.1916236374067699,0.1916236374067699,0.1302352266207688,0.16637980493402182,0.0,0.0,0.15433161216293745,0.08089500860585197,0.09810671256454384,0.1916236374067699,0.0
3.0,24.0,4.0,0.21915492957746474,0.18309859154929575,0.19774647887323948,0.18366197183098587,0.0,0.0,0.1701408450704225,0.13352112676056338,0.11661971830985918,0.22535211267605637,0.0
3.0,24.0,4.0,0.21679125934445087,0.2202415181138585,0.19493962047153535,0.10925819436457729,0.0,0.0,0.19666474985623916,0.16216216216216217,0.129384703852789,0.24439332949971249,0.0
