wareh,capacity,buffer,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,RND
2.0,100.0,0.0,8.5508135,0.2844085,0.1380326,9.4030665,8.010290699999999,0.0657224,0.5310362,0.06525629999999999,0.0774646
2.0,100.0,0.0,0.2578545,0.0072640000000000005,0.0071801,9.2591585,8.1174267,0.0077723,0.0071558,0.0070803,0.002119
2.0,100.0,0.0,0.2251035,0.0086551,0.0086282,9.0818249,7.6464399,0.0090322,0.0084641,0.008408500000000001,0.0021485
3.0,100.0,0.0,0.3890078,0.0075516,0.007531,8.9388099,8.4615774,0.008066,0.0072865000000000004,0.0073739,0.0029861
3.0,100.0,0.0,2.7987836,0.008530099999999999,0.008714099999999999,8.853243,11.744539,0.0091484,0.008438099999999999,0.008470499999999999,0.0019995
3.0,100.0,0.0,0.3748354,0.0073729,0.0073567,8.990132,7.9704692,0.008014199999999999,0.0072101,0.007238499999999999,0.0024705
4.0,100.0,0.0,19.122825199999998,0.0074367,0.0076363,8.8185969,24.447803200000003,0.0079894,0.0073066,0.0073584,0.0031533
4.0,100.0,0.0,1.6129147000000001,0.008541,0.0088194,8.4773001,10.3386544,0.008989,0.0084624,0.008487399999999999,0.0031156
4.0,100.0,0.0,1.7033252,0.0076897,0.0078961,8.0045506,10.1335566,0.008267199999999999,0.0076330999999999994,0.0076345,0.0032214
2.0,120.0,20.0,0.35637470000000004,0.0084927,0.0083674,0.0,0.0,0.0087291,0.0082938,0.0082214,0.0247881
2.0,120.0,20.0,0.3709067,0.0076218,0.0075882,0.0,0.0,0.0078908,0.0074188,0.007250599999999999,0.0130415
2.0,120.0,20.0,0.4745587,0.0074084,0.0073322,0.0,0.0,0.0076963,0.0073209,0.0071423,0.0124049
3.0,120.0,20.0,1.0387533,0.0078549,0.00775,0.0,0.0,0.008537900000000001,0.0077821,0.0076399,0.0250448
3.0,120.0,20.0,0.5436564,0.0080397,0.0079722,0.0,0.0,0.0084221,0.007957,0.0077799,0.0246917
3.0,120.0,20.0,0.4833572,0.0081801,0.0081984,0.0,0.0,0.0089288,0.0081104,0.007897,0.0547215
4.0,120.0,20.0,205.9992165,0.0081873,0.0084125,0.0,0.0,0.0087505,0.008266800000000001,0.0080005,0.0454617
4.0,120.0,20.0,96.93045070000001,0.0080953,0.0087394,0.0,0.0,0.008779499999999999,0.008161700000000001,0.0079633,0.0465853
4.0,120.0,20.0,16.9914725,0.0086585,0.0087272,0.0,0.0,0.0093881,0.0086614,0.0084853,0.0459416
2.0,200.0,0.0,0.364468,0.0097999,0.0100822,37.0379932,25.058122700000002,0.012099200000000001,0.009637,0.0095517,0.0026394
2.0,200.0,0.0,0.41103829999999997,0.010772400000000001,0.010954,35.7986967,25.034274200000002,0.0120081,0.0100823,0.0099904,0.0026337
2.0,200.0,0.0,0.3302335,0.0099381,0.0102976,34.8913836,24.019411400000003,0.0115262,0.0097183,0.0095531,0.0019606
3.0,200.0,0.0,0.8381672,0.0101096,0.011868,31.4903579,25.862766399999998,0.012350199999999999,0.0101233,0.0101961,0.0235097
3.0,200.0,0.0,2.5471223000000003,0.010475,0.0116132,33.4612388,27.5194434,0.0290536,0.010290200000000001,0.010237,0.0023206
3.0,200.0,0.0,1.6328255,0.009471199999999999,0.009742299999999999,33.309798,26.135687100000002,0.0113852,0.009535499999999999,0.009494299999999999,0.0023647
4.0,200.0,0.0,197.7441517,0.010100600000000001,0.010797500000000002,32.7793923,224.8152986,0.012005700000000001,0.010555,0.01037,0.0026252
4.0,200.0,0.0,14.297721399999999,0.0092878,0.010188000000000001,32.0080884,38.3192386,0.011954300000000001,0.0094713,0.0095394,0.0025864
4.0,200.0,0.0,2.6453447999999997,0.0088707,0.0092267,31.8470478,26.2256288,0.010956,0.0092979,0.0092475,0.0026277
2.0,240.0,40.0,0.7916631,0.0092093,0.0095641,0.0,0.0,0.0115295,0.009016,0.0088159,0.0325568
2.0,240.0,40.0,1.3523204000000002,0.0092195,0.0092785,0.0,0.0,0.010772200000000001,0.0089729,0.0087311,0.0146561
2.0,240.0,40.0,1.0531374,0.0090246,0.0091002,0.0,0.0,0.0106461,0.0086861,0.0084183,0.0130887
3.0,240.0,40.0,2.6955251999999996,0.0100024,0.0108225,0.0,0.0,0.0120777,0.0102037,0.0096737,0.0271152
