wareh,capacity,buffer,QMK,CHI,CHILOC,GP,GS,BS,RND
2.0,1000.0,0.0,126495.0,127158.0,126820.0,143055.0,147063.0,147063.0,155038.0
2.0,1000.0,0.0,127001.0,126430.0,126118.0,140234.0,142693.0,142693.0,154368.0
2.0,1000.0,0.0,124359.0,134140.0,126061.0,136373.0,137260.0,137260.0,153211.0
3.0,1000.0,0.0,138421.0,139076.0,138675.0,162394.0,175238.0,175238.0,186402.0
3.0,1000.0,0.0,137505.0,138278.0,137632.0,159070.0,178572.0,178572.0,185864.0
3.0,1000.0,0.0,136028.0,136690.0,136637.0,157718.0,180957.0,180957.0,185050.0
2.0,1200.0,200.0,118484.0,121189.0,121249.0,121691.0,126118.0,130556.0,144217.0
2.0,1200.0,200.0,116088.0,119879.0,119620.0,121827.0,121779.0,125628.0,143381.0
2.0,1200.0,200.0,115292.0,116608.0,116487.0,119665.0,117250.0,119853.0,141405.0
3.0,1200.0,200.0,132583.0,131380.0,131479.0,148111.0,152287.0,161652.0,174267.0
3.0,1200.0,200.0,132137.0,132663.0,132722.0,146608.0,153998.0,157049.0,173616.0
3.0,1200.0,200.0,130321.0,130271.0,129683.0,145044.0,154650.0,151799.0,172522.0
2.0,2000.0,0.0,123112.0,123391.0,123296.0,145798.0,147930.0,147930.0,155310.0
2.0,2000.0,0.0,123415.0,121543.0,121448.0,142377.0,151431.0,151431.0,154761.0
2.0,2000.0,0.0,121226.0,120637.0,120258.0,137559.0,153611.0,153611.0,153571.0
3.0,2000.0,0.0,132738.0,133193.0,132441.0,163963.0,176257.0,176257.0,186776.0
3.0,2000.0,0.0,132079.0,132304.0,132097.0,161294.0,177986.0,177986.0,186485.0
3.0,2000.0,0.0,131891.0,131054.0,131028.0,159996.0,178238.0,178238.0,185286.0
2.0,2400.0,400.0,116051.0,113052.0,113222.0,121244.0,127359.0,131472.0,144617.0
2.0,2400.0,400.0,114357.0,118985.0,118985.0,120452.0,130041.0,126299.0,143832.0
2.0,2400.0,400.0,112748.0,115317.0,115351.0,118103.0,130848.0,119714.0,141282.0
3.0,2400.0,400.0,127373.0,125183.0,125125.0,149084.0,150987.0,161726.0,174381.0
3.0,2400.0,400.0,128007.0,125093.0,124796.0,146443.0,152581.0,157128.0,173891.0
3.0,2400.0,400.0,125438.0,125926.0,126034.0,145471.0,153985.0,152193.0,173048.0
2.0,3000.0,0.0,123257.0,123006.0,123160.0,140955.0,148150.0,148150.0,155123.0
2.0,3000.0,0.0,122403.0,121630.0,121514.0,139198.0,151385.0,151385.0,154704.0
2.0,3000.0,0.0,122562.0,120867.0,120790.0,135534.0,153567.0,153567.0,153235.0
3.0,3000.0,0.0,133642.0,133260.0,133243.0,154861.0,176812.0,176812.0,186541.0
3.0,3000.0,0.0,132519.0,132748.0,132992.0,153692.0,178417.0,178417.0,186398.0
3.0,3000.0,0.0,131917.0,131218.0,131303.0,153149.0,179501.0,179501.0,185170.0
2.0,3600.0,600.0,116371.0,112338.0,112539.0,119410.0,126507.0,131839.0,144584.0
2.0,3600.0,600.0,114529.0,120258.0,120344.0,119871.0,129377.0,126993.0,143711.0
2.0,3600.0,600.0,115059.0,116729.0,115693.0,117841.0,130594.0,120652.0,141254.0
3.0,3600.0,600.0,128959.0,123768.0,123701.0,139443.0,152318.0,162543.0,174165.0
3.0,3600.0,600.0,127306.0,123858.0,123667.0,140878.0,151910.0,158118.0,173799.0
3.0,3600.0,600.0,127199.0,125039.0,125141.0,136905.0,150811.0,152854.0,172876.0
2.0,4000.0,0.0,126231.0,123281.0,123379.0,144462.0,148387.0,148387.0,155108.0
2.0,4000.0,0.0,121538.0,121174.0,120756.0,141386.0,144175.0,144175.0,154675.0
2.0,4000.0,0.0,120010.0,120668.0,120428.0,137272.0,139234.0,139234.0,153284.0
3.0,4000.0,0.0,132224.0,132804.0,132671.0,163639.0,176813.0,176813.0,186553.0
3.0,4000.0,0.0,131588.0,131922.0,131953.0,159392.0,172874.0,172874.0,186134.0
3.0,4000.0,0.0,132643.0,131286.0,131521.0,159787.0,168376.0,168376.0,185305.0
2.0,4800.0,800.0,115458.0,112856.0,112899.0,121808.0,127359.0,132078.0,144538.0
2.0,4800.0,800.0,113933.0,120318.0,118644.0,120732.0,123214.0,127363.0,143731.0
2.0,4800.0,800.0,112578.0,117023.0,115761.0,117922.0,117852.0,121087.0,141080.0
3.0,4800.0,800.0,128121.0,124041.0,123514.0,145708.0,152088.0,162745.0,174045.0
3.0,4800.0,800.0,126436.0,125471.0,125557.0,144483.0,148695.0,158277.0,173956.0
3.0,4800.0,800.0,124122.0,124674.0,124753.0,142354.0,145937.0,153062.0,172811.0
2.0,5000.0,0.0,122769.0,122192.0,122432.0,142685.0,149121.0,149121.0,155212.0
2.0,5000.0,0.0,122911.0,120826.0,120811.0,140754.0,144858.0,144858.0,154792.0
2.0,5000.0,0.0,120008.0,129903.0,125756.0,137322.0,139885.0,139885.0,153401.0
3.0,5000.0,0.0,132385.0,132458.0,132922.0,156978.0,177772.0,177772.0,186707.0
3.0,5000.0,0.0,132033.0,131349.0,131599.0,155311.0,179187.0,179187.0,186366.0
3.0,5000.0,0.0,132889.0,130799.0,130749.0,154547.0,179866.0,179866.0,185391.0
2.0,6000.0,1000.0,116117.0,118937.0,118949.0,119145.0,127894.0,132382.0,144760.0
2.0,6000.0,1000.0,114364.0,119495.0,117767.0,119959.0,124107.0,127886.0,143794.0
2.0,6000.0,1000.0,112290.0,116555.0,114942.0,118358.0,119084.0,121669.0,140947.0
3.0,6000.0,1000.0,127907.0,124395.0,124030.0,144278.0,152449.0,163496.0,174262.0
3.0,6000.0,1000.0,127530.0,125300.0,125738.0,140986.0,154152.0,159186.0,174032.0
3.0,6000.0,1000.0,125674.0,125440.0,125487.0,138082.0,154941.0,154003.0,173146.0
2.0,6000.0,0.0,122274.0,121423.0,121429.0,140538.0,149482.0,149482.0,154886.0
2.0,6000.0,0.0,122370.0,120082.0,120029.0,139244.0,145418.0,145418.0,154466.0
2.0,6000.0,0.0,123447.0,121045.0,120909.0,136862.0,140659.0,140659.0,153121.0
3.0,6000.0,0.0,130655.0,130773.0,130869.0,158922.0,178673.0,178673.0,186264.0
3.0,6000.0,0.0,130358.0,130463.0,130253.0,156157.0,176637.0,176637.0,186023.0
3.0,6000.0,0.0,128857.0,129494.0,128694.0,154065.0,173776.0,173776.0,184951.0
2.0,7200.0,1200.0,115550.0,113067.0,113083.0,119087.0,128667.0,133140.0,144396.0
2.0,7200.0,1200.0,113215.0,119642.0,116625.0,119119.0,124597.0,128660.0,143470.0
2.0,7200.0,1200.0,112159.0,117716.0,115103.0,117890.0,119426.0,122816.0,140749.0
3.0,7200.0,1200.0,126059.0,122780.0,122701.0,142475.0,152168.0,164161.0,174023.0
3.0,7200.0,1200.0,125536.0,124099.0,123771.0,139906.0,150698.0,160108.0,173630.0
3.0,7200.0,1200.0,123386.0,123763.0,122952.0,138139.0,148173.0,154973.0,172705.0
2.0,7000.0,0.0,123739.0,123553.0,123560.0,143325.0,149422.0,149422.0,155198.0
