wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GP,GS,BS,OPT,RND
2.0,20.0,0.0,8.148993564,0.042913578,0.195079025,0.253691931,0.047233486,0.044190559,0.043276054,0.327302603,0.000143595,1.039930957,0.093612875
2.0,20.0,0.0,1.401851672,0.046601416,0.196401596,0.19312435,0.024222511,0.042211875,7.1797e-5,7.4451e-5,7.2496e-5,0.405583616,0.00077559
2.0,20.0,0.0,1.462128994,0.038468227,0.194621389,0.195900257,0.02186906,0.037838116,7.3054e-5,7.5289e-5,7.2146e-5,0.402183279,0.001134645
3.0,20.0,0.0,58.138588045,0.123665358,0.205583582,0.190368748,0.03349061,0.139268368,7.3543e-5,8.6743e-5,8.5556e-5,2.474711583,0.001006905
3.0,20.0,0.0,58.031439496,0.129228763,0.195332897,0.191872041,0.037997893,0.115806902,9.1073e-5,8.6953e-5,8.4019e-5,2.513561877,0.000359754
3.0,20.0,0.0,17.253397157,0.07901377,0.19509521,0.195688721,0.049120705,0.089199102,9.3029e-5,9.1073e-5,8.367e-5,1.849486268,0.000506072
4.0,20.0,0.0,2069.049901646,0.255479581,0.229163645,0.189963276,0.034642093,0.223017382,8.8629e-5,8.3111e-5,8.2343e-5,21.472216935,0.000494338
4.0,20.0,0.0,2431.699636301,0.227399574,0.186617287,0.185912787,0.033340548,0.190983663,8.0947e-5,8.2344e-5,8.416e-5,25.202396048,0.000546932
4.0,20.0,0.0,2414.628861689,0.182528879,0.197769405,0.179178357,0.030495652,0.17277554,9.4007e-5,8.4019e-5,8.2414e-5,25.023642635,0.000465496
2.0,22.0,2.0,3.025201666,0.060244272,0.178883755,0.180056258,0.0,0.0,7.948e-5,7.9271e-5,7.1867e-5,4.831426875,0.013426735
2.0,22.0,2.0,2.109383244,0.05660698,0.179089783,0.17912184,0.0,0.0,7.8712e-5,8.0109e-5,8.5277e-5,3.763516831,0.001719575
2.0,22.0,2.0,1.7300883,0.061191673,0.179009601,0.179149214,0.0,0.0,8.0178e-5,7.7804e-5,7.6826e-5,3.004197543,0.001716292
3.0,22.0,2.0,485.542279318,0.129494584,0.178979287,0.179692929,0.0,0.0,8.6185e-5,8.2763e-5,7.6617e-5,223.448593395,0.003609212
3.0,22.0,2.0,486.098059792,0.131787046,0.179345713,0.179671245,0.0,0.0,8.6394e-5,8.2832e-5,7.8432e-5,224.389415891,0.002930567
3.0,22.0,2.0,170.359361114,0.126055463,0.179326317,0.179652198,0.0,0.0,8.7442e-5,8.2413e-5,7.7594e-5,182.621141604,0.003088965
4.0,22.0,2.0,1927.081395491,0.203396023,0.191273747,0.179852681,0.0,0.0,9.0655e-5,7.2565e-5,8.5277e-5,3602.600275734,0.005876557
4.0,22.0,2.0,1931.533756362,0.175795542,0.212109874,0.186680022,0.0,0.0,9.0794e-5,8.8699e-5,8.7023e-5,3602.630308784,0.005723184
4.0,22.0,2.0,2065.887472658,0.126382427,0.186196652,0.186840384,0.0,0.0,9.4077e-5,7.8572e-5,7.8502e-5,3602.524757434,0.005099567
2.0,24.0,4.0,4.895991718,0.059516514,0.185776001,0.186913375,0.0,0.0,7.962e-5,8.0598e-5,7.5778e-5,12.530368359,0.001963462
2.0,24.0,4.0,3.194845502,0.060449112,0.186801629,0.186494186,0.0,0.0,8.0807e-5,8.0946e-5,7.6198e-5,6.115280908,0.001984484
2.0,24.0,4.0,2.656526276,0.066035197,0.185965624,0.187010597,0.0,0.0,8.3041e-5,7.962e-5,7.6896e-5,5.032303469,0.002309109
3.0,24.0,4.0,877.837295442,0.090225956,0.195370468,0.187750379,0.0,0.0,8.6813e-5,8.2902e-5,7.6617e-5,3602.218154266,0.002716705
3.0,24.0,4.0,607.832913166,0.081008235,0.19606078,0.188284525,0.0,0.0,8.821e-5,6.7607e-5,7.7245e-5,2505.067038429,0.002970165
3.0,24.0,4.0,260.64592841,0.082730871,0.182946366,0.180196972,0.0,0.0,7.7175e-5,8.2623e-5,6.4883e-5,1029.827043277,0.002788504
4.0,24.0,4.0,3602.813255129,2.971353444,0.179751828,0.180323972,0.0,0.0,9.3239e-5,8.8e-5,8.1506e-5,3604.04360229,0.006064571
4.0,24.0,4.0,3339.956493066,0.380170365,0.179195941,0.179881787,0.0,0.0,9.3378e-5,8.7163e-5,8.2553e-5,3603.86280472,0.005681977
4.0,24.0,4.0,3336.523516962,0.377800242,0.181124219,0.184077477,0.0,0.0,9.2959e-5,8.5975e-5,8.1436e-5,3603.747504947,0.005688548
