wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GP,GS,BS,RND
2.0,100.0,0.0,13725.0,13725.0,13725.0,14177.0,13725.0,13725.0,13947.0,13947.0,15484.0
2.0,100.0,0.0,13148.0,13139.0,13139.0,13553.0,13148.0,13166.0,13404.0,13404.0,15430.0
2.0,100.0,0.0,12607.0,12607.0,12607.0,12706.0,12607.0,12607.0,12905.0,12905.0,15310.0
3.0,100.0,0.0,16524.0,16524.0,16524.0,17354.0,16524.0,16520.0,17015.0,17015.0,18581.0
3.0,100.0,0.0,16955.0,16052.0,16035.0,17024.0,16955.0,16047.0,17095.0,17095.0,18537.0
3.0,100.0,0.0,16961.0,15601.0,15601.0,16495.0,16961.0,15597.0,17266.0,17266.0,18448.0
4.0,100.0,0.0,18515.0,18511.0,18511.0,19252.0,18515.0,18530.0,19017.0,19017.0,20537.0
4.0,100.0,0.0,18033.0,17994.0,17994.0,18880.0,18033.0,18019.0,19002.0,19002.0,20505.0
4.0,100.0,0.0,17635.0,17588.0,17588.0,18736.0,17635.0,17580.0,18881.0,18881.0,20414.0
2.0,110.0,10.0,12895.0,12878.0,12878.0,0.0,0.0,12904.0,12878.0,12997.0,14976.0
2.0,110.0,10.0,12331.0,12331.0,12331.0,0.0,0.0,12331.0,12331.0,12430.0,14883.0
2.0,110.0,10.0,13949.0,11864.0,11864.0,0.0,0.0,11864.0,11864.0,11973.0,14707.0
3.0,110.0,10.0,15773.0,15765.0,15765.0,0.0,0.0,15753.0,15969.0,15973.0,17951.0
3.0,110.0,10.0,15366.0,15374.0,15374.0,0.0,0.0,15389.0,16004.0,15569.0,17947.0
3.0,110.0,10.0,15055.0,14783.0,14783.0,0.0,0.0,14783.0,15755.0,14929.0,17800.0
4.0,110.0,10.0,17681.0,17637.0,17637.0,0.0,0.0,17654.0,17847.0,17945.0,19841.0
4.0,110.0,10.0,17449.0,17397.0,17397.0,0.0,0.0,17386.0,18127.0,17702.0,19863.0
4.0,110.0,10.0,17911.0,16905.0,16905.0,0.0,0.0,16905.0,17933.0,17176.0,19831.0
2.0,120.0,20.0,12139.0,12139.0,12139.0,0.0,0.0,12139.0,12139.0,12212.0,14435.0
2.0,120.0,20.0,12595.0,11674.0,11674.0,0.0,0.0,11674.0,11674.0,11749.0,14334.0
2.0,120.0,20.0,13001.0,11231.0,11231.0,0.0,0.0,11246.0,11231.0,11310.0,14060.0
3.0,120.0,20.0,14950.0,15109.0,15109.0,0.0,0.0,15122.0,15269.0,15273.0,17339.0
3.0,120.0,20.0,14484.0,14614.0,14614.0,0.0,0.0,14608.0,15204.0,14732.0,17260.0
3.0,120.0,20.0,14152.0,14051.0,14051.0,0.0,0.0,14051.0,15140.0,14166.0,17230.0
4.0,120.0,20.0,16999.0,17153.0,17153.0,0.0,0.0,17144.0,17131.0,17378.0,19221.0
4.0,120.0,20.0,17049.0,16715.0,16715.0,0.0,0.0,16732.0,17237.0,16900.0,19184.0
4.0,120.0,20.0,17098.0,16285.0,16285.0,0.0,0.0,16285.0,17224.0,16430.0,19155.0
2.0,200.0,0.0,13798.0,13776.0,13776.0,15056.0,13798.0,13781.0,13883.0,13883.0,15543.0
2.0,200.0,0.0,13229.0,13229.0,13229.0,14692.0,13229.0,13235.0,13359.0,13359.0,15493.0
2.0,200.0,0.0,12653.0,12668.0,12653.0,14394.0,12653.0,12676.0,12814.0,12814.0,15360.0
3.0,200.0,0.0,16568.0,16584.0,16584.0,18101.0,16568.0,16617.0,16782.0,16782.0,18715.0
3.0,200.0,0.0,16825.0,16136.0,16136.0,17861.0,16825.0,16197.0,16385.0,16385.0,18694.0
3.0,200.0,0.0,15911.0,15631.0,15621.0,17566.0,15911.0,15624.0,15931.0,15931.0,18577.0
4.0,200.0,0.0,18639.0,18610.0,18623.0,19984.0,18639.0,18606.0,18884.0,18884.0,20719.0
4.0,200.0,0.0,18204.0,18150.0,18165.0,19772.0,18204.0,18133.0,18589.0,18589.0,20704.0
4.0,200.0,0.0,17776.0,17772.0,17779.0,19703.0,17776.0,17749.0,18218.0,18218.0,20644.0
2.0,220.0,20.0,12998.0,12998.0,12998.0,0.0,0.0,13003.0,12998.0,13017.0,15038.0
2.0,220.0,20.0,12441.0,12432.0,12441.0,0.0,0.0,12447.0,12426.0,12474.0,14985.0
2.0,220.0,20.0,14034.0,11900.0,11887.0,0.0,0.0,11886.0,11881.0,11911.0,14781.0
3.0,220.0,20.0,15840.0,15775.0,15775.0,0.0,0.0,15812.0,15902.0,15929.0,18092.0
3.0,220.0,20.0,15372.0,15335.0,15335.0,0.0,0.0,15313.0,15520.0,15471.0,18062.0
3.0,220.0,20.0,15132.0,14888.0,14888.0,0.0,0.0,14857.0,15011.0,14986.0,17966.0
4.0,220.0,20.0,17911.0,17842.0,17842.0,0.0,0.0,17850.0,17885.0,18053.0,20060.0
4.0,220.0,20.0,17476.0,17391.0,17391.0,0.0,0.0,17350.0,17436.0,17594.0,20024.0
4.0,220.0,20.0,17584.0,16931.0,16931.0,0.0,0.0,16962.0,17489.0,17097.0,19971.0
2.0,240.0,40.0,12258.0,12253.0,12239.0,0.0,0.0,12250.0,12239.0,12273.0,14487.0
2.0,240.0,40.0,12712.0,11733.0,11733.0,0.0,0.0,11722.0,11722.0,11746.0,14387.0
2.0,240.0,40.0,13106.0,11274.0,11265.0,0.0,0.0,11289.0,11265.0,11300.0,14098.0
3.0,240.0,40.0,15047.0,15178.0,15178.0,0.0,0.0,15150.0,15304.0,15300.0,17465.0
3.0,240.0,40.0,14766.0,14697.0,14697.0,0.0,0.0,14679.0,14803.0,14751.0,17402.0
3.0,240.0,40.0,14290.0,14129.0,14129.0,0.0,0.0,14150.0,14254.0,14179.0,17326.0
4.0,240.0,40.0,17032.0,17267.0,17145.0,0.0,0.0,17223.0,17234.0,17422.0,19382.0
4.0,240.0,40.0,16866.0,16768.0,16768.0,0.0,0.0,16814.0,16991.0,16961.0,19396.0
4.0,240.0,40.0,17133.0,16275.0,16275.0,0.0,0.0,16331.0,16662.0,16440.0,19331.0
2.0,300.0,0.0,13779.0,13776.0,13776.0,15256.0,13779.0,13831.0,13845.0,13845.0,15490.0
2.0,300.0,0.0,13172.0,13169.0,13172.0,14786.0,13172.0,13177.0,13250.0,13250.0,15445.0
2.0,300.0,0.0,14847.0,12607.0,12607.0,14707.0,14847.0,12642.0,12702.0,12702.0,15310.0
