wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GP,GS,BS,RND
2.0,100.0,0.0,7.868927857,0.282619693,0.345027529,10.475719795,0.084346389,0.058439413,0.405561196,0.007594783,0.085359836
2.0,100.0,0.0,0.102023718,0.294754647,0.29948568,10.602456081,0.09731444,0.008627483,0.005268325,0.005587747,0.004688937
2.0,100.0,0.0,0.080860576,0.289251198,0.293026696,10.526510825,0.076802237,0.007312451,0.006545453,0.006795724,0.00456819
3.0,100.0,0.0,0.128346834,0.333446415,0.353004364,10.703631311,0.129708604,0.011553409,0.008917749,0.006641139,0.007004842
3.0,100.0,0.0,0.182394974,0.313912986,0.313448519,10.390196987,0.203928662,0.006536169,0.006886338,0.005960464,0.007097506
3.0,100.0,0.0,0.163553643,0.299862558,0.309799601,10.610377151,0.161084696,0.008517178,0.007268016,0.009242754,0.005723089
4.0,100.0,0.0,0.33643446,0.30760532,0.299481961,10.578511249,0.326745191,0.006147065,0.005449321,0.008854394,0.008666541
4.0,100.0,0.0,0.302415854,0.309266173,0.362059388,10.803802927,0.346135815,0.006342835,0.005443631,0.008373367,0.007166685
4.0,100.0,0.0,0.117775308,0.263819135,0.304845559,10.335598169,0.115992207,0.007135125,0.006141635,0.005481812,0.007042102
2.0,110.0,10.0,0.089401394,0.266435356,0.265254292,0.0,0.0,0.005823766,0.006048519,0.005957028,0.042305222
2.0,110.0,10.0,0.109439038,0.263489968,0.30009151,0.0,0.0,0.006047929,0.005238233,0.005231621,0.032231762
2.0,110.0,10.0,0.126656267,0.295719696,0.336782527,0.0,0.0,0.007189399,0.007682075,0.007411466,0.021795801
3.0,110.0,10.0,0.140457322,0.326233874,0.354284773,0.0,0.0,0.006057646,0.006003455,0.009148127,0.060914022
3.0,110.0,10.0,0.113049932,0.293693978,0.377993805,0.0,0.0,0.008971002,0.005313355,0.008420356,0.057015782
3.0,110.0,10.0,0.181904337,0.334196824,0.449653701,0.0,0.0,0.007325214,0.010284716,0.008478747,0.055150789
4.0,110.0,10.0,3.10703854,0.28914491,0.549720725,0.0,0.0,0.007507036,0.009021368,0.006514457,0.111590335
4.0,110.0,10.0,0.351139816,0.297466029,0.380200296,0.0,0.0,0.00595882,0.007404863,0.007336295,0.114246436
4.0,110.0,10.0,0.306084668,0.305683441,0.38178522,0.0,0.0,0.006481895,0.005458629,0.005505177,0.107036477
2.0,120.0,20.0,0.198928763,0.20177908,0.234494893,0.0,0.0,0.005609583,0.005235679,0.005367728,0.037494141
2.0,120.0,20.0,0.192693951,0.202348591,0.226881707,0.0,0.0,0.005570179,0.005347749,0.005298306,0.03303297
2.0,120.0,20.0,0.074877105,0.202596738,0.219519503,0.0,0.0,0.005568586,0.006045916,0.005290292,0.023252867
3.0,120.0,20.0,0.373518561,0.201999233,0.251192192,0.0,0.0,0.005721964,0.005283699,0.00534808,0.061070965
3.0,120.0,20.0,0.124087577,0.203373761,0.243157403,0.0,0.0,0.005568165,0.005078172,0.005286745,0.039532929
3.0,120.0,20.0,0.229419645,0.204724244,0.25013012,0.0,0.0,0.00563482,0.005282226,0.0054222,0.057724917
4.0,120.0,20.0,0.302001248,0.201525434,0.314675943,0.0,0.0,0.005616861,0.005330588,0.00519687,0.077258999
4.0,120.0,20.0,0.185379904,0.207129643,0.284202603,0.0,0.0,0.005771866,0.005346024,0.005306621,0.099899953
4.0,120.0,20.0,0.638605464,0.199900857,0.282297803,0.0,0.0,0.005723082,0.005333327,0.005321105,0.098084121
2.0,200.0,0.0,0.179790153,0.197507392,0.240354045,39.066472722,0.195188003,0.008547633,0.007978631,0.009359205,0.005110027
2.0,200.0,0.0,0.197854024,0.22880966,0.20641711,39.708703531,0.191043997,0.008426316,0.00659659,0.006584026,0.005981327
2.0,200.0,0.0,0.190564202,0.202676609,0.21075016,38.96620742,0.188228108,0.008501006,0.006571578,0.006537834,0.006229026
3.0,200.0,0.0,0.28067952,0.208865984,0.212227466,37.874696095,0.279332501,0.008650872,0.00678519,0.006560136,0.006251537
