wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GP,GS,BS,RND
2.0,100.0,0.0,8.944349431,0.272938558,0.337592901,10.245299961,0.059418221,0.067280523,0.435411819,0.006906005,0.078881816
2.0,100.0,0.0,0.100295223,0.293257766,0.29633452,10.328940707,0.102643658,0.015822127,0.013928297,0.007673216,0.004022882
2.0,100.0,0.0,0.096275233,0.348032988,0.35092579,10.305857065,0.057824504,0.008848331,0.006776829,0.006821522,0.004089424
3.0,100.0,0.0,0.19778225,0.326919058,0.338563285,10.148940616,0.247065329,0.007388795,0.010955666,0.005284071,0.006090381
3.0,100.0,0.0,0.61130094,0.344213686,0.355262032,10.243739277,0.62699875,0.010936646,0.005776249,0.009859643,0.005053494
3.0,100.0,0.0,5.29495205,0.299455891,0.311356542,10.29132151,5.324091278,0.00803943,0.006513175,0.007355712,0.004836178
4.0,100.0,0.0,1.493494143,0.293966877,0.330298502,10.301801872,1.463179582,0.006731667,0.007456691,0.005286574,0.007972404
4.0,100.0,0.0,0.832660737,0.288007817,0.2793215,10.23031043,0.747732687,0.006684697,0.009763045,0.007551592,0.006510639
4.0,100.0,0.0,1.167291637,0.307562811,0.346310063,10.394871366,1.123466037,0.009146353,0.006837194,0.005987654,0.006456279
2.0,110.0,10.0,0.288931168,0.252209591,0.268747962,0.0,0.0,0.005728488,0.005528109,0.005500808,0.04437524
2.0,110.0,10.0,0.282041402,0.263971206,0.287935962,0.0,0.0,0.009932583,0.005739016,0.006463292,0.032853684
2.0,110.0,10.0,0.324697605,0.320248877,0.327928666,0.0,0.0,0.009392876,0.005340788,0.006961198,0.028790372
3.0,110.0,10.0,0.994348808,0.251736144,0.272870279,0.0,0.0,0.009317195,0.005149868,0.00741274,0.046124914
3.0,110.0,10.0,0.756445515,0.238459802,0.271782308,0.0,0.0,0.007008457,0.005165356,0.00728661,0.038516658
3.0,110.0,10.0,1.883933956,0.2460365,0.322120154,0.0,0.0,0.007098519,0.005627276,0.008639377,0.037891711
4.0,110.0,10.0,56.184256538,0.19171128,0.251064051,0.0,0.0,0.005961125,0.005097108,0.005226091,0.104645277
4.0,110.0,10.0,8.869667041,0.190996535,0.252760996,0.0,0.0,0.00603828,0.005311721,0.005505928,0.105190873
4.0,110.0,10.0,64.25949831,0.20292159,0.265640868,0.0,0.0,0.005740398,0.005363884,0.00552699,0.100413014
2.0,120.0,20.0,0.179364464,0.189937175,0.205718406,0.0,0.0,0.006208146,0.005084606,0.005168253,0.033870272
2.0,120.0,20.0,0.14127017,0.215235678,0.203305742,0.0,0.0,0.007781503,0.004904183,0.005374483,0.03368702
2.0,120.0,20.0,0.184345641,0.23157513,0.210823421,0.0,0.0,0.008066212,0.005399582,0.006882688,0.033357378
3.0,120.0,20.0,1.00296007,0.198223717,0.232158742,0.0,0.0,0.005680011,0.005402823,0.0052247,0.062080968
3.0,120.0,20.0,0.379567765,0.19751222,0.228340752,0.0,0.0,0.005854312,0.005330902,0.005251384,0.059499712
