wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GP,GS,BS,RND
2.0,1000.0,0.0,117816.0,117706.0,117343.0,117816.0,147435.0,147037.0,147037.0,155110.0
2.0,1000.0,0.0,116522.0,116446.0,116529.0,116522.0,144340.0,150014.0,150014.0,154689.0
2.0,1000.0,0.0,115183.0,115187.0,115179.0,115183.0,140226.0,152274.0,152274.0,153217.0
3.0,1000.0,0.0,124912.0,124057.0,124108.0,124912.0,169968.0,175339.0,175339.0,186517.0
3.0,1000.0,0.0,129076.0,126133.0,123988.0,129076.0,167677.0,176964.0,176964.0,186254.0
3.0,1000.0,0.0,123797.0,122882.0,122882.0,123797.0,163988.0,178048.0,178048.0,185192.0
4.0,1000.0,0.0,127966.0,130048.0,128570.0,127966.0,184748.0,194829.0,194829.0,206363.0
4.0,1000.0,0.0,127547.0,127473.0,127379.0,127547.0,182312.0,195185.0,195185.0,206083.0
4.0,1000.0,0.0,127413.0,127052.0,127059.0,127413.0,181624.0,195350.0,195350.0,205254.0
2.0,1100.0,100.0,114443.0,111811.0,111234.0,0.0,132553.0,134303.0,139376.0,150076.0
2.0,1100.0,100.0,115209.0,111222.0,111212.0,0.0,130981.0,137202.0,135110.0,149437.0
2.0,1100.0,100.0,112943.0,110552.0,110513.0,0.0,127506.0,138839.0,129755.0,147468.0
3.0,1100.0,100.0,122440.0,119405.0,119334.0,0.0,154427.0,160276.0,168521.0,180204.0
3.0,1100.0,100.0,121773.0,119666.0,119646.0,0.0,156561.0,160674.0,164606.0,179995.0
3.0,1100.0,100.0,121533.0,118467.0,118351.0,0.0,155373.0,161218.0,160324.0,179062.0
4.0,1100.0,100.0,127031.0,124454.0,123994.0,0.0,178448.0,180719.0,188607.0,199768.0
4.0,1100.0,100.0,126221.0,124103.0,123933.0,0.0,173346.0,179853.0,185517.0,199596.0
4.0,1100.0,100.0,126221.0,124229.0,123393.0,0.0,170770.0,179789.0,181519.0,198959.0
2.0,1200.0,200.0,112992.0,108015.0,108005.0,0.0,121951.0,124695.0,131687.0,144495.0
2.0,1200.0,200.0,111488.0,107358.0,107358.0,0.0,121028.0,126183.0,126937.0,143662.0
2.0,1200.0,200.0,110320.0,107705.0,107705.0,0.0,117559.0,126758.0,121446.0,141010.0
3.0,1200.0,200.0,121067.0,116045.0,116011.0,0.0,151766.0,149457.0,161351.0,174096.0
3.0,1200.0,200.0,120188.0,115593.0,115252.0,0.0,150843.0,151069.0,157813.0,173764.0
3.0,1200.0,200.0,119907.0,115166.0,115146.0,0.0,147711.0,149826.0,153161.0,172845.0
4.0,1200.0,200.0,125608.0,121293.0,121209.0,0.0,171933.0,169800.0,183384.0,193257.0
4.0,1200.0,200.0,125508.0,121168.0,120610.0,0.0,169703.0,170061.0,179450.0,193041.0
