wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GP,GS,BS,RND
2.0,1000.0,0.0,16.003958088,0.615323766,0.880311446,7.923850383,0.593037206,0.792457267,0.444463656,0.166620113
2.0,1000.0,0.0,5.024946547,0.656635384,0.935475135,5.071187523,0.62249477,0.460081168,0.422120419,0.09486856
2.0,1000.0,0.0,4.893790144,0.626479017,0.965172075,4.9610913,0.548844351,0.314053663,0.442377669,0.095181681
3.0,1000.0,0.0,19.368675438,0.781202299,0.873013718,19.694066828,0.616449291,0.453707446,0.404594106,0.135577014
3.0,1000.0,0.0,31.819024462,0.647940099,0.79292664,32.031579659,0.640758186,0.389061519,0.452770664,0.129720396
3.0,1000.0,0.0,15.255676628,0.77039637,0.720721874,15.051990917,0.619983477,0.500413249,0.533748676,0.158830127
4.0,1000.0,0.0,29.805926527,0.465841044,0.81815636,29.027016145,0.447202512,0.36279954,0.369518171,0.153876663
4.0,1000.0,0.0,20.716637076,0.560154029,0.682984626,20.377282129,0.524795191,0.372242389,0.36357039,0.153873325
4.0,1000.0,0.0,18.545970062,0.644910088,0.726168793,18.973250567,0.665612459,0.541721332,0.40648411,0.186716851
2.0,1100.0,100.0,6.170216354,0.774135017,2.096996833,0.0,0.588012085,0.428742879,0.528799751,0.380630072
2.0,1100.0,100.0,6.526532953,0.704876147,1.155349176,0.0,0.632425176,0.471441825,0.488068065,0.376117486
2.0,1100.0,100.0,5.164320875,0.686984487,1.327185868,0.0,0.620956188,0.404380665,0.481728669,0.372275231
3.0,1100.0,100.0,32.298586971,0.781766838,2.220537022,0.0,0.538869598,0.390986574,0.452384323,0.681917036
3.0,1100.0,100.0,15.235541119,0.666802619,1.809374321,0.0,0.607444249,0.548582687,0.431998715,0.662055538
3.0,1100.0,100.0,17.213337189,0.76353891,1.625080689,0.0,0.576779652,0.431815257,0.477183641,0.638927976
4.0,1100.0,100.0,47.098807458,0.737989891,3.851223826,0.0,0.524414396,0.38045476,0.461148383,1.266783794
4.0,1100.0,100.0,20.806922415,0.648397789,2.908986581,0.0,0.601884334,0.480181453,0.469962075,1.325134734
4.0,1100.0,100.0,28.881391114,0.508720712,2.182045603,0.0,0.418212075,0.288229769,0.244043044,1.123693896
2.0,1200.0,200.0,6.766691376,0.606925765,1.191639078,0.0,0.547518605,0.366797419,0.36867314,0.383921137
2.0,1200.0,200.0,5.122517575,0.515458077,0.710315061,0.0,0.544623309,0.321674829,0.31513766,0.323394173
2.0,1200.0,200.0,4.82870992,0.631402878,0.774229706,0.0,0.453026569,0.44276926,0.439956552,0.35933815
3.0,1200.0,200.0,60.522461661,0.640603839,1.535184216,0.0,0.509989801,0.37355004,0.354611456,0.575303687
3.0,1200.0,200.0,8.098457727,0.648970238,1.278450883,0.0,0.520976806,0.332150956,0.32813678,0.584457743
3.0,1200.0,200.0,16.104274019,0.512945739,1.142369184,0.0,0.448880959,0.345074747,0.338895674,0.6091161
4.0,1200.0,200.0,62.454533745,0.546124783,3.146029758,0.0,0.55947033,0.362669321,0.365730347,1.080421222
4.0,1200.0,200.0,43.033909037,0.574843923,2.048988328,0.0,0.509982611,0.352706117,0.336348533,1.173808555
4.0,1200.0,200.0,32.328306931,0.544848452,1.82358755,0.0,0.534992579,0.353473614,0.40478918,1.142097065
2.0,2000.0,0.0,12.295893813,0.652527932,0.672214715,12.180864077,0.938758337,0.442660772,0.441633695,0.17486595
2.0,2000.0,0.0,12.034409084,0.651669661,0.674717047,12.226745834,0.905022768,0.385897634,0.372272261,0.165834756
2.0,2000.0,0.0,11.719212219,0.555141114,0.680797242,12.242633828,0.966498337,0.419258745,0.400331103,0.171756943
3.0,2000.0,0.0,19.274088115,0.676421291,0.774565746,19.572547578,0.969776432,0.36298417,0.354129448,0.2092494
3.0,2000.0,0.0,18.974090104,0.616713135,0.739822345,19.205867393,0.986736407,0.376370984,0.350736535,0.190804247
3.0,2000.0,0.0,18.89540038,0.632167129,0.688266652,19.073612317,1.01590852,0.429240691,0.390543731,0.198227569
4.0,2000.0,0.0,26.90524343,0.973454497,1.170456863,28.19226877,1.11443817,0.519649686,0.479663963,0.373170602
4.0,2000.0,0.0,33.467639936,0.895114848,1.055818418,34.014256456,1.102985798,0.57593518,0.511613857,0.251436397
4.0,2000.0,0.0,34.543761468,0.737340075,1.001952755,34.401363734,1.106254079,0.473726111,0.47454678,0.254095164
2.0,2200.0,200.0,18.876318817,0.853699572,1.571290772,0.0,0.99454552,0.444299683,0.494493106,0.453442574
2.0,2200.0,200.0,15.498761461,0.734113508,1.022438699,0.0,1.095653531,0.540653873,0.479221102,0.443038724
2.0,2200.0,200.0,14.245264267,0.784282442,1.034572252,0.0,1.24796588,0.444110665,0.483460852,0.453428908
3.0,2200.0,200.0,33.068405545,0.885538963,2.215659744,0.0,1.137986275,0.476140795,0.430323626,0.74385868
3.0,2200.0,200.0,19.940790414,0.765072788,1.653157727,0.0,1.209986775,0.533366152,0.469304055,0.778760121
3.0,2200.0,200.0,27.866191592,1.065077645,1.641061164,0.0,1.114992389,0.46553766,0.497571735,0.675840671
4.0,2200.0,200.0,71.879482748,0.767985128,4.664112465,0.0,0.926907878,0.367901648,0.337159951,1.229405967
4.0,2200.0,200.0,29.412308834,0.627176685,1.805972173,0.0,0.908518848,0.403446327,0.41437581,1.294878595
4.0,2200.0,200.0,30.623550954,0.635237628,2.454033112,0.0,0.975002668,0.372116386,0.383917975,1.22367513
2.0,2400.0,400.0,15.745082739,0.61049708,0.887733223,0.0,0.930661497,0.413429077,0.36665806,0.44850211
2.0,2400.0,400.0,13.856420383,0.666602337,1.012026452,0.0,0.923176894,0.39098118,0.43150441,0.429509153
2.0,2400.0,400.0,14.089054919,0.648123242,0.873792342,0.0,0.944636807,0.362092231,0.382750212,0.402835093
3.0,2400.0,400.0,21.530478736,0.639485451,1.207392893,0.0,1.034816587,0.359474185,0.405521057,0.702850434
3.0,2400.0,400.0,36.382052873,0.561534292,1.125442698,0.0,0.971025006,0.354633365,0.336232151,0.70725806
3.0,2400.0,400.0,22.972204179,0.637687514,1.273829571,0.0,0.984790503,0.405281055,0.395953442,0.722432512
4.0,2400.0,400.0,35.792429325,0.680854772,2.855982749,0.0,0.92282796,0.387706062,0.406661954,1.27684443
4.0,2400.0,400.0,34.618184106,0.700675191,2.187163107,0.0,0.910465089,0.327435543,0.321657982,1.277016299
4.0,2400.0,400.0,54.472963215,0.734376278,2.058067251,0.0,1.073754854,0.402487047,0.377147088,1.195487274
2.0,3000.0,0.0,21.128873704,0.774647288,0.785249044,21.998882054,6.920458246,0.531561347,0.499353529,0.273646768
2.0,3000.0,0.0,32.248357548,0.672933754,0.78582406,31.815458628,7.049887606,0.491673751,0.464431554,0.272490349
2.0,3000.0,0.0,25.627813359,0.676452792,0.760000926,26.170600577,6.858855422,0.444880271,0.483684409,0.298728104
3.0,3000.0,0.0,36.62966493,0.674908426,0.81591924,36.425886639,7.064435082,0.516531962,0.504647515,0.293738964
3.0,3000.0,0.0,39.232355754,0.688772646,0.962230276,40.697411642,6.851290696,0.443390129,0.47663731,0.329968796
3.0,3000.0,0.0,33.167553723,0.667602761,0.843150465,34.143389875,6.814488464,0.522941817,0.49214073,0.352576042
4.0,3000.0,0.0,123.549484237,0.750021124,0.98875411,123.68601122,7.021385756,0.490341001,0.48868653,0.307007312
4.0,3000.0,0.0,75.26909394,0.629925451,0.766919282,74.250024214,7.036119023,0.480620299,0.504143002,0.320213024
4.0,3000.0,0.0,59.360456009,0.716837113,0.97010945,62.355154677,7.149003182,0.550941101,0.559323568,0.379813262
2.0,3300.0,300.0,24.95299647,1.031131621,1.296010462,0.0,7.301818357,0.575802818,0.48710486,0.597998315
2.0,3300.0,300.0,22.695470802,0.909558483,1.448528202,0.0,6.965363445,0.534477942,0.536609323,0.586374149
2.0,3300.0,300.0,22.877228079,0.911350171,1.440479405,0.0,7.196034152,0.647781174,0.586958662,0.652199454
3.0,3300.0,300.0,38.144283067,1.157966347,3.61788388,0.0,7.227208908,0.568314364,0.472249401,0.9135143
3.0,3300.0,300.0,39.591041725,0.801665619,1.929353107,0.0,7.194970436,0.619143157,0.526509964,0.966732305
