wareh,capacity,buffer,CHIM,CHI,GS,BS,RND
2.0,10000.0,0.0,1.377656e6,1.377615e6,1.377797e6,1.377797e6,1.550219e6
2.0,10000.0,0.0,1.319605e6,1.319526e6,1.319843e6,1.319843e6,1.54563e6
2.0,10000.0,0.0,1.262849e6,1.262984e6,1.263264e6,1.263264e6,1.532002e6
3.0,10000.0,0.0,1.657007e6,1.657287e6,1.657633e6,1.657633e6,1.86447e6
3.0,10000.0,0.0,1.608691e6,1.609017e6,1.702247e6,1.702247e6,1.861196e6
3.0,10000.0,0.0,1.558553e6,1.558636e6,1.697279e6,1.697279e6,1.851373e6
4.0,10000.0,0.0,1.856202e6,1.8571e6,1.856481e6,1.856481e6,2.063351e6
4.0,10000.0,0.0,1.811995e6,1.812671e6,1.812479e6,1.812479e6,2.060633e6
4.0,10000.0,0.0,1.765401e6,1.765852e6,1.765888e6,1.765888e6,2.052578e6
2.0,11000.0,1000.0,1.296206e6,1.296164e6,1.296122e6,1.29613e6,1.499737e6
2.0,11000.0,1000.0,1.240886e6,1.240901e6,1.24084e6,1.240857e6,1.493393e6
2.0,11000.0,1000.0,1.187679e6,1.187744e6,1.187752e6,1.187721e6,1.474292e6
3.0,11000.0,1000.0,1.577476e6,1.577476e6,1.577879e6,1.586036e6,1.801819e6
3.0,11000.0,1000.0,1.530009e6,1.530009e6,1.605562e6,1.5356e6,1.79937e6
3.0,11000.0,1000.0,1.479404e6,1.479404e6,1.657517e6,1.482904e6,1.790314e6
4.0,11000.0,1000.0,1.779918e6,1.779918e6,1.780083e6,1.791842e6,1.997048e6
4.0,11000.0,1000.0,1.735048e6,1.735048e6,1.73626e6,1.745e6,1.995302e6
4.0,11000.0,1000.0,1.687886e6,1.687886e6,1.688037e6,1.696092e6,1.98876e6
2.0,12000.0,2000.0,1.217717e6,1.21785e6,1.217805e6,1.217846e6,1.445041e6
2.0,12000.0,2000.0,1.168566e6,1.168587e6,1.168628e6,1.168653e6,1.436083e6
2.0,12000.0,2000.0,1.123402e6,1.123436e6,1.123442e6,1.123479e6,1.409707e6
3.0,12000.0,2000.0,1.509184e6,1.509184e6,1.50952e6,1.514559e6,1.739992e6
3.0,12000.0,2000.0,1.462164e6,1.462164e6,1.542625e6,1.462939e6,1.736884e6
3.0,12000.0,2000.0,1.411476e6,1.411476e6,1.565443e6,1.409036e6,1.726989e6
4.0,12000.0,2000.0,1.717495e6,1.717495e6,1.717537e6,1.727762e6,1.93266e6
4.0,12000.0,2000.0,1.671611e6,1.671611e6,1.671601e6,1.678949e6,1.930977e6
4.0,12000.0,2000.0,1.623916e6,1.623916e6,1.622177e6,1.627883e6,1.924834e6
2.0,15000.0,0.0,1.378413e6,1.378363e6,1.378421e6,1.378421e6,1.550592e6
2.0,15000.0,0.0,1.320585e6,1.320658e6,1.320714e6,1.320714e6,1.546093e6
2.0,15000.0,0.0,1.263332e6,1.263442e6,1.263556e6,1.263556e6,1.53249e6
3.0,15000.0,0.0,1.658715e6,1.659089e6,1.658893e6,1.658893e6,1.865009e6
3.0,15000.0,0.0,1.609992e6,1.610255e6,1.610251e6,1.610251e6,1.861771e6
3.0,15000.0,0.0,1.55957e6,1.559651e6,1.559662e6,1.559662e6,1.851658e6
4.0,15000.0,0.0,1.857362e6,1.858074e6,1.857498e6,1.857498e6,2.064044e6
4.0,15000.0,0.0,1.813185e6,1.813902e6,1.823628e6,1.823628e6,2.061209e6
4.0,15000.0,0.0,1.767221e6,1.767533e6,1.767626e6,1.767626e6,2.053027e6
2.0,16500.0,1500.0,1.296979e6,1.29704e6,1.296933e6,1.297032e6,1.500059e6
2.0,16500.0,1500.0,1.2411e6,1.241078e6,1.241027e6,1.241162e6,1.493936e6
2.0,16500.0,1500.0,1.187939e6,1.187909e6,1.187981e6,1.188073e6,1.474779e6
3.0,16500.0,1500.0,1.57864e6,1.57864e6,1.57851e6,1.587222e6,1.8025e6
3.0,16500.0,1500.0,1.530499e6,1.530499e6,1.530619e6,1.536194e6,1.799808e6
3.0,16500.0,1500.0,1.479868e6,1.479868e6,1.480442e6,1.483338e6,1.790798e6
4.0,16500.0,1500.0,1.781102e6,1.781102e6,1.781204e6,1.793209e6,1.997629e6
4.0,16500.0,1500.0,1.736818e6,1.736818e6,1.747974e6,1.74679e6,1.995656e6
4.0,16500.0,1500.0,1.690034e6,1.690034e6,1.690292e6,1.697877e6,1.989379e6
2.0,18000.0,3000.0,1.21828e6,1.218374e6,1.218288e6,1.218332e6,1.445163e6
2.0,18000.0,3000.0,1.169102e6,1.169158e6,1.169164e6,1.169246e6,1.436523e6
2.0,18000.0,3000.0,1.123544e6,1.123582e6,1.123463e6,1.123508e6,1.409844e6
3.0,18000.0,3000.0,1.510064e6,1.510064e6,1.510021e6,1.515288e6,1.740436e6
3.0,18000.0,3000.0,1.462658e6,1.462658e6,1.463091e6,1.463326e6,1.737389e6
