wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,RND
2.0,100.0,0.0,13435.0,13821.0,13435.0,14313.0,13435.0,15308.0,14549.0,14092.0,14092.0,15549.0
2.0,100.0,0.0,13156.0,13200.0,13200.0,14449.0,13156.0,14933.0,14183.0,13490.0,13490.0,15498.0
2.0,100.0,0.0,12703.0,12743.0,12743.0,13365.0,12703.0,14300.0,13935.0,13071.0,13071.0,15385.0
3.0,100.0,0.0,15807.0,16073.0,15729.0,17388.0,15807.0,17606.0,17086.0,17330.0,17330.0,18728.0
3.0,100.0,0.0,15754.0,15706.0,15315.0,16785.0,15754.0,17154.0,16826.0,16853.0,16853.0,18715.0
3.0,100.0,0.0,15194.0,15458.0,15176.0,16534.0,15194.0,16856.0,16504.0,16508.0,16508.0,18592.0
4.0,100.0,0.0,17050.0,17618.0,17187.0,18489.0,17050.0,19405.0,19015.0,19390.0,19390.0,20777.0
4.0,100.0,0.0,16724.0,17042.0,16748.0,19064.0,16724.0,18901.0,18514.0,19135.0,19135.0,20714.0
4.0,100.0,0.0,16449.0,16853.0,16625.0,18847.0,16449.0,18669.0,18101.0,18910.0,18910.0,20614.0
2.0,120.0,20.0,12061.0,12139.0,12139.0,13943.0,12061.0,13072.0,12997.0,12269.0,12376.0,14480.0
2.0,120.0,20.0,12364.0,11760.0,11665.0,13587.0,12364.0,12590.0,12794.0,11807.0,11969.0,14405.0
2.0,120.0,20.0,11402.0,11352.0,11314.0,13986.0,11402.0,11942.0,12235.0,11343.0,11468.0,14145.0
3.0,120.0,20.0,14334.0,14422.0,14422.0,16866.0,14334.0,15489.0,15057.0,15256.0,15475.0,17456.0
3.0,120.0,20.0,13910.0,14229.0,14229.0,16384.0,13910.0,15427.0,14810.0,14774.0,14962.0,17435.0
3.0,120.0,20.0,13600.0,13789.0,13643.0,16737.0,13600.0,15200.0,14471.0,14331.0,14447.0,17331.0
4.0,120.0,20.0,16053.0,15889.0,15889.0,18553.0,16053.0,17607.0,16810.0,17420.0,17492.0,19372.0
4.0,120.0,20.0,15930.0,15633.0,15471.0,18530.0,15930.0,17253.0,16692.0,16994.0,17074.0,19358.0
4.0,120.0,20.0,15512.0,15506.0,15266.0,17813.0,15512.0,16851.0,16454.0,16651.0,16589.0,19306.0
2.0,200.0,0.0,13753.0,13881.0,13733.0,14749.0,13753.0,14999.0,14586.0,14075.0,14075.0,15428.0
2.0,200.0,0.0,13245.0,13300.0,13245.0,14719.0,13245.0,14532.0,14513.0,13536.0,13536.0,15397.0
2.0,200.0,0.0,12791.0,12869.0,12784.0,14382.0,12791.0,13966.0,14349.0,13111.0,13111.0,15259.0
3.0,200.0,0.0,16017.0,16281.0,16011.0,17726.0,16017.0,17618.0,17326.0,17146.0,17146.0,18513.0
3.0,200.0,0.0,16107.0,16039.0,15808.0,17634.0,16107.0,17234.0,17087.0,16847.0,16847.0,18496.0
3.0,200.0,0.0,15611.0,15679.0,15453.0,17496.0,15611.0,16959.0,16765.0,16500.0,16500.0,18392.0
4.0,200.0,0.0,17304.0,17862.0,17498.0,19385.0,17304.0,19382.0,19189.0,19208.0,19208.0,20488.0
4.0,200.0,0.0,16992.0,17436.0,17202.0,19294.0,16992.0,19066.0,18880.0,18772.0,18772.0,20420.0
4.0,200.0,0.0,16808.0,17202.0,17065.0,19064.0,16808.0,19009.0,18704.0,18585.0,18585.0,20362.0
2.0,240.0,40.0,12099.0,12296.0,12222.0,14800.0,12099.0,12925.0,13058.0,12306.0,12423.0,14383.0
2.0,240.0,40.0,12418.0,11893.0,11816.0,14527.0,12418.0,12527.0,12831.0,11968.0,12078.0,14286.0
2.0,240.0,40.0,11372.0,11467.0,11395.0,14545.0,11372.0,12090.0,12564.0,11541.0,11566.0,14028.0
3.0,240.0,40.0,14315.0,14683.0,14548.0,17250.0,14315.0,15414.0,15267.0,15121.0,15481.0,17284.0
3.0,240.0,40.0,14234.0,14267.0,14171.0,17294.0,14234.0,15204.0,15074.0,14800.0,14955.0,17232.0
3.0,240.0,40.0,13933.0,13844.0,13844.0,17308.0,13933.0,14968.0,14777.0,14495.0,14429.0,17143.0
4.0,240.0,40.0,16059.0,16195.0,16147.0,19077.0,16059.0,17310.0,17106.0,17138.0,17465.0,19165.0
4.0,240.0,40.0,15887.0,15788.0,15795.0,19066.0,15887.0,17075.0,16981.0,16718.0,17024.0,19170.0
4.0,240.0,40.0,15728.0,15566.0,15566.0,19284.0,15728.0,16720.0,16639.0,16638.0,16530.0,19075.0
2.0,300.0,0.0,13759.0,14076.0,13841.0,15067.0,13759.0,15093.0,14494.0,14247.0,14247.0,15499.0
2.0,300.0,0.0,13340.0,13562.0,13383.0,14867.0,13340.0,14602.0,14302.0,14704.0,14704.0,15451.0
2.0,300.0,0.0,14236.0,13027.0,12910.0,14721.0,14236.0,14130.0,13990.0,15084.0,15084.0,15322.0
3.0,300.0,0.0,15866.0,16389.0,16069.0,17946.0,15866.0,17788.0,17272.0,17198.0,17198.0,18632.0
3.0,300.0,0.0,15644.0,16027.0,15581.0,17929.0,15644.0,17532.0,17108.0,17024.0,17024.0,18586.0
3.0,300.0,0.0,15140.0,15645.0,15189.0,17606.0,15140.0,17191.0,16765.0,16790.0,16790.0,18482.0
4.0,300.0,0.0,17137.0,17554.0,17332.0,19896.0,17137.0,19811.0,19002.0,19018.0,19018.0,20615.0
4.0,300.0,0.0,17017.0,17402.0,17073.0,19671.0,17017.0,19567.0,18820.0,18783.0,18783.0,20605.0
4.0,300.0,0.0,16904.0,17110.0,16731.0,19529.0,16904.0,19184.0,18434.0,18569.0,18569.0,20519.0
2.0,360.0,60.0,12203.0,12403.0,12250.0,14834.0,12203.0,13023.0,12956.0,12572.0,12547.0,14431.0
2.0,360.0,60.0,11875.0,12027.0,11899.0,14774.0,11875.0,12776.0,12756.0,12852.0,12082.0,14364.0
