wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,RND
2.0,100.0,0.0,8.4379899,0.2579376,0.3263217,2.1259927,0.1691968,0.0214188,0.0594344,0.4374922,0.0008961,0.1019595
2.0,100.0,0.0,0.152558,0.2451844,0.2470028,2.1272978,0.1515807,0.021461,0.0014897,0.0009254,0.0008422,0.0195221
2.0,100.0,0.0,0.140182,0.2457806,0.2465171,2.0979378,0.1397178,0.0210942,0.0014864,0.0009323,0.0008436,0.0185423
3.0,100.0,0.0,0.2384563,0.271391,0.2526095,2.0290777,0.234141,0.0213064,0.0016025,0.0010169,0.0010615,0.0251833
3.0,100.0,0.0,0.3806327,0.2628047,0.2604279,2.0704554,0.3791436,0.0212089,0.0014889,0.0009756,0.0009847,0.0257934
3.0,100.0,0.0,0.4435361,0.2674383,0.2600559,2.0462896,0.4293689,0.0214254,0.0015804,0.0009245,0.0008937,0.0212336
4.0,100.0,0.0,0.4516715,0.2483668,0.2412483,2.0649948,0.4514208,0.0211919,0.0015364,0.0009491,0.0009531,0.0296323
4.0,100.0,0.0,0.2777155,0.259743,0.2364044,2.0251875,0.2596805,0.0211255,0.0016086,0.0010249,0.0009528,0.0352639
4.0,100.0,0.0,0.2714221,0.245716,0.2384633,2.0117596,0.274772,0.0209858,0.0016248,0.0010356,0.0009966,0.0275515
2.0,120.0,20.0,0.2773993,0.2485737,0.2425008,2.0294898,0.281759,0.0225065,0.0015743,0.0008873,0.0008094,0.148755
2.0,120.0,20.0,0.2025536,0.2631654,0.2477065,2.0332162,0.2056823,0.022268,0.0014485,0.0009064,0.0008079,0.14564
2.0,120.0,20.0,0.2544502,0.2626336,0.2614244,2.0793384,0.2543607,0.02259,0.0015132,0.0009051,0.0008654,0.1343351
3.0,120.0,20.0,0.3222836,0.2639469,0.2800893,2.09301,0.2914926,0.0227096,0.0015403,0.0009836,0.0008742,0.2728007
3.0,120.0,20.0,0.3329928,0.2674149,0.2637037,2.0643044,0.3206866,0.0224085,0.0016423,0.0009541,0.0008967,0.2691762
3.0,120.0,20.0,0.2863401,0.25734,0.2724603,2.0527723,0.2857129,0.0225473,0.0016019,0.000962,0.0008983,0.2612707
4.0,120.0,20.0,0.5062661,0.2609707,0.2638053,2.0328373,0.497841,0.0225034,0.0016637,0.0009924,0.0009174,0.5087659
4.0,120.0,20.0,1.5126569,0.2697693,0.2661935,2.0128829,1.5248611,0.0225822,0.0017627,0.0009967,0.000917,0.5051584
4.0,120.0,20.0,1.2848244,0.269267,0.2825133,2.1128311,1.2614004,0.0230156,0.0018885,0.0010576,0.000895,0.5002995
2.0,200.0,0.0,0.315213,0.255213,0.2725218,9.3335402,0.3022501,0.0339617,0.0039613,0.0016619,0.0016555,0.0225065
2.0,200.0,0.0,0.2636477,0.2436356,0.2470147,9.2622482,0.2697267,0.0340553,0.0038773,0.001633,0.001592,0.0216247
2.0,200.0,0.0,0.3486701,0.2605831,0.2589661,9.2903597,0.3383413,0.0337874,0.0040236,0.0019862,0.0016779,0.0255961
3.0,200.0,0.0,0.72392,0.2666853,0.2646321,8.9258782,0.7115252,0.0337454,0.0043004,0.0019733,0.0018828,0.0293214
