wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GO,GP,GS,BS,RND
2.0,1000.0,0.0,133439.0,133513.0,133439.0,133439.0,146528.0,149877.0,133778.0,133778.0,155027.0
2.0,1000.0,0.0,139311.0,127780.0,127671.0,139311.0,141953.0,147868.0,128132.0,128132.0,154580.0
2.0,1000.0,0.0,144806.0,122306.0,122250.0,144806.0,136880.0,146022.0,122650.0,122650.0,153191.0
3.0,1000.0,0.0,160651.0,161143.0,160574.0,160651.0,175548.0,178395.0,161735.0,161735.0,186383.0
3.0,1000.0,0.0,155813.0,156480.0,155834.0,155813.0,171984.0,174838.0,156729.0,156729.0,186008.0
3.0,1000.0,0.0,150627.0,151382.0,150656.0,150627.0,167484.0,169332.0,151653.0,151653.0,185001.0
4.0,1000.0,0.0,180247.0,182236.0,180161.0,180247.0,194470.0,194072.0,182266.0,182266.0,206210.0
4.0,1000.0,0.0,182887.0,176963.0,175582.0,182887.0,191259.0,191007.0,181100.0,181100.0,205934.0
4.0,1000.0,0.0,173222.0,171829.0,170610.0,173222.0,187157.0,187218.0,179598.0,179598.0,205129.0
2.0,1200.0,200.0,118106.0,118164.0,118081.0,118106.0,127471.0,129990.0,118114.0,118184.0,144486.0
2.0,1200.0,200.0,113809.0,113818.0,113723.0,113809.0,123236.0,128158.0,113783.0,113812.0,143644.0
2.0,1200.0,200.0,126659.0,110008.0,109945.0,126659.0,118436.0,121072.0,110039.0,110137.0,140916.0
3.0,1200.0,200.0,143990.0,146541.0,144149.0,143990.0,153954.0,152907.0,147098.0,146751.0,173845.0
3.0,1200.0,200.0,140862.0,141853.0,140898.0,140862.0,151089.0,150837.0,141828.0,141518.0,173764.0
3.0,1200.0,200.0,136294.0,136733.0,136460.0,136294.0,147952.0,148846.0,136855.0,136034.0,172712.0
4.0,1200.0,200.0,163230.0,165035.0,165035.0,163230.0,173695.0,173227.0,167167.0,167752.0,193160.0
4.0,1200.0,200.0,161040.0,160871.0,160871.0,161040.0,171377.0,172625.0,166888.0,162889.0,192833.0
4.0,1200.0,200.0,158661.0,156207.0,156207.0,158661.0,168370.0,169928.0,172976.0,157366.0,192273.0
2.0,2000.0,0.0,135826.0,136304.0,135850.0,135826.0,148290.0,147821.0,136157.0,136157.0,154998.0
2.0,2000.0,0.0,141060.0,130567.0,130276.0,141060.0,143985.0,144744.0,130476.0,130476.0,154549.0
2.0,2000.0,0.0,145829.0,125005.0,124883.0,145829.0,137727.0,142014.0,125343.0,125343.0,153214.0
3.0,2000.0,0.0,162310.0,164665.0,162567.0,162310.0,177017.0,176588.0,164022.0,164022.0,186381.0
3.0,2000.0,0.0,157814.0,161285.0,157953.0,157814.0,172824.0,173768.0,159271.0,159271.0,186040.0
