wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GO,GP,GS,BS,RND
2.0,1000.0,0.0,155081.0,155231.0,155199.0,155081.0,155100.0,155028.0,155130.0,155130.0,155112.0
2.0,1000.0,0.0,154559.0,154716.0,154552.0,154559.0,154670.0,154618.0,154637.0,154637.0,154654.0
2.0,1000.0,0.0,153253.0,153272.0,153331.0,153253.0,153316.0,153278.0,153160.0,153160.0,153291.0
3.0,1000.0,0.0,186653.0,186629.0,186655.0,186653.0,186859.0,186645.0,186378.0,186378.0,186618.0
3.0,1000.0,0.0,186327.0,186189.0,186193.0,186327.0,186364.0,186290.0,186044.0,186044.0,186271.0
3.0,1000.0,0.0,185296.0,185258.0,185185.0,185296.0,185342.0,185147.0,185089.0,185089.0,185318.0
4.0,1000.0,0.0,206573.0,206618.0,206614.0,206573.0,206682.0,206421.0,206436.0,206436.0,206577.0
4.0,1000.0,0.0,206612.0,206320.0,206028.0,206612.0,206368.0,206268.0,206254.0,206254.0,206315.0
4.0,1000.0,0.0,205345.0,205449.0,205605.0,205345.0,205568.0,205470.0,205446.0,205446.0,205490.0
2.0,1200.0,200.0,144668.0,144553.0,144438.0,144668.0,144566.0,144426.0,144415.0,144592.0,144594.0
2.0,1200.0,200.0,143780.0,143645.0,143810.0,143780.0,143746.0,143608.0,143385.0,143543.0,143704.0
2.0,1200.0,200.0,141141.0,141070.0,141079.0,141141.0,141123.0,141103.0,140640.0,140798.0,141068.0
3.0,1200.0,200.0,175257.0,172562.0,173416.0,175257.0,173307.0,173020.0,172848.0,177293.0,174144.0
3.0,1200.0,200.0,174948.0,171644.0,171644.0,174948.0,171958.0,171574.0,171683.0,177032.0,173855.0
3.0,1200.0,200.0,174390.0,169368.0,169368.0,174390.0,169199.0,168920.0,169975.0,175341.0,172889.0
4.0,1200.0,200.0,194392.0,191796.0,192862.0,194392.0,192103.0,191955.0,191928.0,198454.0,193416.0
4.0,1200.0,200.0,194661.0,190903.0,192942.0,194661.0,190700.0,190667.0,191120.0,198020.0,193224.0
4.0,1200.0,200.0,194044.0,188906.0,188906.0,194044.0,188436.0,188455.0,189515.0,196627.0,192668.0
2.0,2000.0,0.0,154763.0,154917.0,154802.0,154763.0,154980.0,154853.0,154754.0,154754.0,154923.0
2.0,2000.0,0.0,154451.0,154412.0,154546.0,154451.0,154547.0,154493.0,154353.0,154353.0,154471.0
2.0,2000.0,0.0,153068.0,152983.0,152932.0,153068.0,153320.0,153191.0,152973.0,152973.0,153110.0
3.0,2000.0,0.0,186334.0,186033.0,186269.0,186334.0,186377.0,186423.0,186275.0,186275.0,186222.0
3.0,2000.0,0.0,185898.0,185697.0,185778.0,185898.0,186141.0,185978.0,185897.0,185897.0,185899.0
3.0,2000.0,0.0,184811.0,184688.0,184734.0,184811.0,185138.0,184969.0,184933.0,184933.0,184902.0
4.0,2000.0,0.0,206148.0,205837.0,206021.0,206148.0,206047.0,205880.0,205986.0,205986.0,206056.0
4.0,2000.0,0.0,205455.0,205543.0,205610.0,205455.0,205876.0,205734.0,205802.0,205802.0,205742.0
4.0,2000.0,0.0,205014.0,204777.0,205106.0,205014.0,205131.0,205155.0,205003.0,205003.0,204950.0
2.0,2400.0,400.0,144115.0,144255.0,144413.0,144115.0,144525.0,144431.0,144213.0,144334.0,144390.0
2.0,2400.0,400.0,143377.0,143323.0,143584.0,143377.0,143766.0,143688.0,143285.0,143458.0,143507.0
2.0,2400.0,400.0,140568.0,140736.0,141035.0,140568.0,141019.0,140904.0,140688.0,140890.0,140852.0
3.0,2400.0,400.0,174464.0,172109.0,173057.0,174464.0,173105.0,172957.0,172447.0,177101.0,173801.0
3.0,2400.0,400.0,174648.0,171237.0,171237.0,174648.0,171588.0,171469.0,171173.0,176688.0,173515.0
3.0,2400.0,400.0,173818.0,168934.0,168934.0,173818.0,168800.0,168838.0,168963.0,175221.0,172550.0
4.0,2400.0,400.0,194503.0,191470.0,192436.0,194503.0,191778.0,191876.0,191723.0,198153.0,192971.0
4.0,2400.0,400.0,194017.0,190558.0,192377.0,194017.0,190435.0,190447.0,190527.0,197725.0,192815.0
4.0,2400.0,400.0,193049.0,188193.0,188193.0,193049.0,188165.0,188092.0,190272.0,196412.0,192171.0
2.0,3000.0,0.0,155264.0,155180.0,154986.0,155264.0,155212.0,155163.0,155102.0,155102.0,155058.0
2.0,3000.0,0.0,154797.0,154841.0,154719.0,154797.0,154634.0,154639.0,154698.0,154698.0,154625.0
2.0,3000.0,0.0,153279.0,153548.0,153379.0,153279.0,153304.0,153232.0,153496.0,153496.0,153245.0
3.0,3000.0,0.0,186448.0,186653.0,186282.0,186448.0,186525.0,186465.0,186472.0,186472.0,186501.0
3.0,3000.0,0.0,186515.0,186388.0,186244.0,186515.0,186318.0,186082.0,186093.0,186093.0,186171.0
3.0,3000.0,0.0,185661.0,185254.0,185232.0,185661.0,185309.0,185068.0,185048.0,185048.0,185201.0
4.0,3000.0,0.0,206360.0,206315.0,206426.0,206360.0,206466.0,206252.0,206306.0,206306.0,206429.0
4.0,3000.0,0.0,206186.0,206058.0,206337.0,206186.0,206128.0,206037.0,206068.0,206068.0,206124.0
4.0,3000.0,0.0,205131.0,205511.0,205557.0,205131.0,205326.0,205276.0,205254.0,205254.0,205319.0
2.0,3600.0,600.0,144299.0,144781.0,144437.0,144299.0,144474.0,144605.0,144699.0,144779.0,144531.0
2.0,3600.0,600.0,143525.0,143946.0,143932.0,143525.0,143627.0,143679.0,143764.0,143882.0,143666.0
2.0,3600.0,600.0,140977.0,141187.0,141207.0,140977.0,141037.0,140922.0,141132.0,141119.0,140985.0
3.0,3600.0,600.0,175431.0,172500.0,173562.0,175431.0,173088.0,172881.0,172644.0,177404.0,174047.0
3.0,3600.0,600.0,174988.0,171550.0,171550.0,174988.0,171721.0,171634.0,171646.0,176921.0,173760.0
3.0,3600.0,600.0,174033.0,169409.0,169409.0,174033.0,168898.0,169150.0,169239.0,175341.0,172783.0
4.0,3600.0,600.0,195237.0,192183.0,192898.0,195237.0,192048.0,192004.0,191974.0,198554.0,193312.0
4.0,3600.0,600.0,194868.0,191085.0,192869.0,194868.0,190647.0,190409.0,190766.0,198149.0,193133.0
4.0,3600.0,600.0,193933.0,189014.0,189014.0,193933.0,188214.0,188161.0,188712.0,196743.0,192483.0
2.0,4000.0,0.0,155297.0,155225.0,155125.0,155297.0,155060.0,155198.0,155223.0,155223.0,155125.0
2.0,4000.0,0.0,154729.0,154812.0,154595.0,154729.0,154573.0,154704.0,154789.0,154789.0,154677.0
2.0,4000.0,0.0,153363.0,153518.0,153230.0,153363.0,153220.0,153376.0,153303.0,153303.0,153331.0
3.0,4000.0,0.0,186688.0,186491.0,186406.0,186688.0,186598.0,186623.0,186506.0,186506.0,186592.0
3.0,4000.0,0.0,186334.0,186203.0,186127.0,186334.0,186100.0,186350.0,186295.0,186295.0,186291.0
3.0,4000.0,0.0,185281.0,185296.0,185019.0,185281.0,185219.0,185312.0,185368.0,185368.0,185273.0
