wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GO,GP,GS,BS,RND
2.0,1000.0,0.0,131880.0,133103.0,132482.0,131880.0,148443.0,143512.0,143334.0,143334.0,155078.0
2.0,1000.0,0.0,132878.0,131681.0,130434.0,132878.0,145653.0,140715.0,147627.0,147627.0,154637.0
2.0,1000.0,0.0,133434.0,128154.0,126973.0,133434.0,142123.0,136177.0,150951.0,150951.0,153345.0
3.0,1000.0,0.0,147406.0,149372.0,148342.0,147406.0,175730.0,171377.0,170940.0,170940.0,186602.0
3.0,1000.0,0.0,146419.0,147761.0,146045.0,146419.0,173269.0,168058.0,166878.0,166878.0,186249.0
3.0,1000.0,0.0,144075.0,147185.0,145082.0,144075.0,170328.0,164410.0,162302.0,162302.0,185360.0
4.0,1000.0,0.0,156179.0,156480.0,156008.0,156179.0,193605.0,187902.0,191423.0,191423.0,206527.0
4.0,1000.0,0.0,156595.0,156908.0,155654.0,156595.0,189764.0,185077.0,188333.0,188333.0,206286.0
4.0,1000.0,0.0,155264.0,156076.0,154027.0,155264.0,186393.0,182067.0,183588.0,183588.0,205439.0
2.0,1200.0,200.0,119270.0,120809.0,119314.0,119270.0,130082.0,127708.0,124722.0,126143.0,144536.0
2.0,1200.0,200.0,116496.0,118163.0,116636.0,116496.0,127071.0,125348.0,127747.0,121056.0,143855.0
2.0,1200.0,200.0,114341.0,114281.0,113266.0,114341.0,122248.0,121995.0,131648.0,115927.0,141069.0
3.0,1200.0,200.0,136724.0,137606.0,136095.0,136724.0,153680.0,152360.0,150687.0,156025.0,174163.0
3.0,1200.0,200.0,136198.0,136073.0,134711.0,136198.0,151190.0,149238.0,147110.0,151528.0,173841.0
3.0,1200.0,200.0,133874.0,134619.0,132878.0,133874.0,148151.0,145295.0,143393.0,146736.0,173022.0
4.0,1200.0,200.0,148877.0,147014.0,146131.0,148877.0,170373.0,168038.0,169651.0,177396.0,193419.0
4.0,1200.0,200.0,147160.0,146494.0,145482.0,147160.0,169733.0,166255.0,165719.0,173281.0,193187.0
4.0,1200.0,200.0,147478.0,145161.0,144548.0,147478.0,167086.0,163682.0,163666.0,168380.0,192801.0
2.0,2000.0,0.0,122589.0,123216.0,122927.0,122589.0,149174.0,146634.0,145923.0,145923.0,154987.0
2.0,2000.0,0.0,122715.0,122355.0,121675.0,122715.0,146617.0,143399.0,141498.0,141498.0,154573.0
2.0,2000.0,0.0,122086.0,120223.0,119676.0,122086.0,143415.0,138942.0,136585.0,136585.0,153212.0
3.0,2000.0,0.0,132770.0,132707.0,132416.0,132770.0,177268.0,172923.0,174917.0,174917.0,186448.0
3.0,2000.0,0.0,131904.0,132183.0,131994.0,131904.0,174965.0,169970.0,177898.0,177898.0,186130.0
3.0,2000.0,0.0,130966.0,131182.0,130671.0,130966.0,171756.0,166337.0,179915.0,179915.0,185127.0
4.0,2000.0,0.0,137808.0,137725.0,137682.0,137808.0,194511.0,190096.0,193328.0,193328.0,206350.0
4.0,2000.0,0.0,137774.0,137651.0,136980.0,137774.0,192925.0,187614.0,192438.0,192438.0,206091.0
4.0,2000.0,0.0,137325.0,137048.0,136313.0,137325.0,190968.0,184995.0,190917.0,190917.0,205358.0
2.0,2400.0,400.0,115289.0,113570.0,113622.0,115289.0,129321.0,127085.0,126465.0,129280.0,144553.0
2.0,2400.0,400.0,114289.0,113978.0,113294.0,114289.0,126856.0,123511.0,122421.0,124753.0,143564.0
2.0,2400.0,400.0,112811.0,112428.0,112191.0,112811.0,122403.0,120395.0,117432.0,119488.0,141014.0
3.0,2400.0,400.0,126713.0,124793.0,124406.0,126713.0,152070.0,152086.0,151093.0,160299.0,174031.0
3.0,2400.0,400.0,126039.0,124524.0,123977.0,126039.0,150196.0,148937.0,154394.0,156020.0,173626.0
3.0,2400.0,400.0,124806.0,123484.0,122988.0,124806.0,147382.0,146152.0,156188.0,150956.0,172772.0
4.0,2400.0,400.0,132746.0,131176.0,130738.0,132746.0,169771.0,168168.0,169475.0,180450.0,193330.0
4.0,2400.0,400.0,132019.0,130423.0,130078.0,132019.0,168811.0,164959.0,169135.0,177360.0,193035.0
4.0,2400.0,400.0,132715.0,129628.0,129543.0,132715.0,166519.0,163774.0,169580.0,173285.0,192540.0
2.0,3000.0,0.0,117543.0,117763.0,117480.0,117543.0,147830.0,148148.0,148006.0,148006.0,155169.0
2.0,3000.0,0.0,117250.0,116800.0,116144.0,117250.0,146333.0,144753.0,143055.0,143055.0,154667.0
2.0,3000.0,0.0,116408.0,115645.0,114976.0,116408.0,143889.0,140939.0,138132.0,138132.0,153313.0
3.0,3000.0,0.0,124389.0,124284.0,124369.0,124389.0,175535.0,174521.0,177219.0,177219.0,186695.0
3.0,3000.0,0.0,124307.0,124704.0,124066.0,124307.0,172923.0,171541.0,172891.0,172891.0,186420.0
