wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GO,GP,GS,BS,RND
2.0,1000.0,0.0,12.6300339,0.3119462,0.3739258,3.8892836,1.8403862,0.1730162,0.4838873,0.0306245,0.4458275
2.0,1000.0,0.0,3.879501,0.2852357,0.3183424,3.8929529,1.8560636,0.1131773,0.0292986,0.0311121,0.3552555
2.0,1000.0,0.0,4.3523134,0.3108646,0.296511,4.3373948,1.8548362,0.1154585,0.033135,0.030587,0.3564734
3.0,1000.0,0.0,8.0351206,0.3237836,0.3306873,8.0392419,1.8358437,0.1089188,0.0338804,0.0368538,0.467768
3.0,1000.0,0.0,7.9687053,0.286385,0.3072127,7.9458768,1.8399431,0.1089667,0.034198,0.0349328,0.4234994
3.0,1000.0,0.0,5.2191095,0.3037318,0.3276445,5.2325898,1.8575918,0.1148826,0.0355909,0.0399509,0.4546716
4.0,1000.0,0.0,9.4494366,0.3125397,0.3659897,9.7764267,1.8449035,0.1250965,0.0417825,0.0429218,0.5607282
4.0,1000.0,0.0,13.0962697,0.318813,0.3645332,13.3372893,1.9814558,0.1161245,0.041056,0.042801,0.5332982
4.0,1000.0,0.0,8.2095881,0.3144127,0.3630247,8.5148167,1.8508625,0.1143849,0.0439425,0.0400027,0.5394262
2.0,1200.0,200.0,4.1692883,0.3301392,0.3919716,4.1903622,1.8667294,0.1128021,0.0312907,0.0261467,1.8693714
2.0,1200.0,200.0,4.5998446,0.2882405,0.3685085,4.6174252,1.9257127,0.1126206,0.0304131,0.025791,1.8129013
2.0,1200.0,200.0,3.5384039,0.3135171,0.3857625,3.532614,1.8672873,0.1082316,0.0312493,0.0255664,1.7859518
3.0,1200.0,200.0,16.1745197,0.3238657,0.7966934,16.2568433,1.8699276,0.1210333,0.0353674,0.0301381,3.3477513
3.0,1200.0,200.0,5.7475099,0.2955369,0.5893917,5.6727228,1.8591303,0.111692,0.0352975,0.0312625,3.2766348
3.0,1200.0,200.0,6.2387721,0.3000583,0.3846496,6.2232392,1.8645386,0.1240229,0.044058,0.0304601,3.253525
4.0,1200.0,200.0,7.6171713,0.3158104,0.4006522,8.0253185,1.8575611,0.1223967,0.043866,0.0314334,6.1934507
4.0,1200.0,200.0,13.0401879,0.3121153,0.3998657,13.1283225,1.9567586,0.1264579,0.044849,0.0329304,6.2309798
4.0,1200.0,200.0,10.9874954,0.2926101,0.4107974,11.3968019,1.855592,0.1230613,0.0431678,0.0354714,6.1885109
2.0,2000.0,0.0,8.5507228,0.3663408,0.4230611,8.5055836,4.6036797,0.821633,0.1032502,0.0871668,0.8972308
2.0,2000.0,0.0,8.4177867,0.3798504,0.3913033,8.4056275,4.6126227,0.8441542,0.0875281,0.0835349,0.8662694
2.0,2000.0,0.0,8.697326,0.3738976,0.3964082,8.7323925,4.607584,0.8148053,0.0841163,0.0886136,0.9239707
3.0,2000.0,0.0,14.9965203,0.3825938,0.4943872,15.2447847,4.6127857,0.8804718,0.0945775,0.0885494,0.9102393
3.0,2000.0,0.0,13.919094,0.3594913,0.4756222,14.3492219,4.6104084,0.899265,0.0972035,0.0892721,0.9075586
3.0,2000.0,0.0,15.6118052,0.3871165,0.4283272,16.0300745,4.6001555,0.8909914,0.102996,0.0910597,0.9913657
4.0,2000.0,0.0,22.4921196,0.3592699,0.538386,21.9641504,4.6044983,0.9424193,0.113176,0.1188204,1.0015606
4.0,2000.0,0.0,22.4933026,0.3794248,0.5639309,22.2201831,4.6104889,0.9501885,0.1162309,0.1203082,1.0102158
4.0,2000.0,0.0,22.7588875,0.3742517,0.4635481,22.2215396,4.6129968,0.9420442,0.1156247,0.1199697,1.050249
2.0,2400.0,400.0,8.7224652,0.3615688,0.4851773,8.6780476,4.6147563,0.8177469,0.0830227,0.0588917,2.5474773
2.0,2400.0,400.0,10.3784439,0.3698853,0.4748996,10.4701246,4.6061848,0.8295654,0.0811427,0.0592237,2.4843352
2.0,2400.0,400.0,125.5864955,0.3743851,0.4735605,124.8677717,4.6324696,0.8248358,0.0929187,0.0745314,2.5156967
3.0,2400.0,400.0,17.6332983,0.3884159,0.761791,18.1191888,4.6145357,0.9000623,0.0992878,0.0809375,4.1239865
3.0,2400.0,400.0,13.6656604,0.4212199,0.7858787,14.2183521,4.6223325,0.9207063,0.0984881,0.0920323,4.1144473
3.0,2400.0,400.0,13.7423431,0.4022309,0.8089626,14.020992,4.6328008,0.9035706,0.1080351,0.0845653,4.0753903
4.0,2400.0,400.0,25.8981645,0.4234005,0.5578183,26.6961997,4.6296407,1.0015119,0.1472948,0.0959538,7.8351351
4.0,2400.0,400.0,38.8786918,0.4322974,0.5628108,37.7349893,4.6439644,1.0001127,0.1356829,0.0913255,7.4591714
4.0,2400.0,400.0,24.0305744,0.3998622,0.5158043,24.2341354,4.6432147,1.0353029,0.1307465,0.0913781,7.1381791
2.0,3000.0,0.0,16.6422405,0.4344817,0.5290531,16.4914077,7.4621542,3.2903028,0.3968521,0.1913401,1.4072243
2.0,3000.0,0.0,15.9994579,0.4467578,0.5167909,16.3964944,7.4353198,3.2910221,0.4020131,0.2080347,1.4909233
2.0,3000.0,0.0,16.3372898,0.477842,0.5343085,16.0789628,7.4735238,3.2818572,0.4233147,0.1993637,1.5750528
3.0,3000.0,0.0,27.3324524,0.4587203,0.8488987,27.3551252,7.4789525,3.5811791,0.5135727,0.2588785,1.4847237
3.0,3000.0,0.0,27.8375991,0.4898551,0.9254993,27.8172884,7.4551921,3.5091429,0.459547,0.248702,1.583199
3.0,3000.0,0.0,27.9458422,0.440785,0.7985504,27.5501919,7.4564093,3.5564595,0.4735232,0.2600105,1.6694228
4.0,3000.0,0.0,38.6589785,0.4832055,1.018673,39.5950579,7.3767416,3.7944048,0.5486555,0.3328026,1.6207185
4.0,3000.0,0.0,37.8239189,0.4492929,1.0391588,38.191219,7.4630149,3.687261,0.5925217,0.3361611,1.6859715
4.0,3000.0,0.0,42.8302789,0.5024963,1.0392682,44.6166886,7.4723669,3.6958738,0.5322682,0.3220514,1.7779003
2.0,3600.0,600.0,16.499,0.498781,0.7476121,16.6167359,7.4735913,3.3647016,0.2080679,0.1502104,3.593078
2.0,3600.0,600.0,16.461652,0.5385081,0.7886181,16.6858681,7.4519826,3.3365014,0.2031207,0.1537204,3.5877458
2.0,3600.0,600.0,17.7065303,0.4876328,0.5960819,17.7100757,7.5027942,3.4225549,0.2389773,0.1987667,3.6050779
3.0,3600.0,600.0,27.298683,0.5890075,0.9103045,27.5171165,7.4791829,3.8129793,0.2803311,0.2043424,5.2826072
3.0,3600.0,600.0,26.381051,0.6029604,0.9979365,26.1296967,7.436865,3.6248059,0.2893136,0.2055278,5.2188959
3.0,3600.0,600.0,28.1600855,0.5743028,1.0664779,28.0436551,7.4441935,3.6579149,0.310942,0.2154743,5.2928694
4.0,3600.0,600.0,39.4769339,0.5478361,1.7678143,39.3185221,7.2000148,3.7783915,0.3613495,0.2462478,8.7936133
4.0,3600.0,600.0,41.3049373,0.5777693,2.1893938,41.3483918,7.5082319,3.8808315,0.3656557,0.2484213,8.8794187
4.0,3600.0,600.0,38.3466438,0.5759374,0.7129458,38.2342736,7.4575278,3.9261318,0.3734609,0.2514268,8.5881329
2.0,4000.0,0.0,27.4578496,0.5293404,0.7630122,27.1095156,9.945288,9.0898516,0.3165418,0.3344194,2.3327978
2.0,4000.0,0.0,27.8984127,0.5635448,0.8323555,27.7823191,9.8682573,9.532894,0.3637428,0.350916,2.3499995
2.0,4000.0,0.0,28.6580825,0.5799415,0.7515186,28.984407,9.9077539,9.2971404,0.330477,0.3569329,2.5142921
3.0,4000.0,0.0,44.6279174,0.5831671,1.2483854,44.0515418,9.9135639,9.6483784,0.4670385,0.4585973,2.269779
3.0,4000.0,0.0,45.0226304,0.5996531,1.4956502,44.4848684,9.9356261,9.9215331,0.5032217,0.4962843,2.4563338
3.0,4000.0,0.0,44.5933801,0.6055398,1.0530056,42.8571528,9.9104003,9.8580987,0.4618216,0.4885337,2.6841324
4.0,4000.0,0.0,61.7299279,0.5855982,1.6018408,61.7402641,9.9290222,9.9424799,0.5943609,0.6076835,2.4327447
4.0,4000.0,0.0,60.9829433,0.6242402,1.2901397,62.6446536,9.9081701,9.9183401,0.6166695,0.6239716,2.6564184
4.0,4000.0,0.0,61.291043,0.6093657,1.4767158,60.8989221,9.9325413,10.0675178,0.6074334,0.6330784,2.7565135
2.0,4800.0,800.0,28.3360612,0.6680551,1.3768759,28.0999463,9.9600153,9.3539457,0.3486351,0.2893824,5.0386105
2.0,4800.0,800.0,27.8874972,0.7266831,0.951042,28.7483168,9.9565731,9.2549484,0.3551671,0.2722834,5.042805
2.0,4800.0,800.0,29.3768622,0.7306611,0.974608,28.989278,9.9645216,9.2071952,0.3917034,0.283177,5.1996875
3.0,4800.0,800.0,45.2232481,0.7205517,1.7849332,46.0775186,9.8998491,9.7952449,0.4887676,0.3730217,6.530324
3.0,4800.0,800.0,44.6965323,0.725185,2.1362268,44.7393548,9.913517,10.0373711,0.5271834,0.3966991,6.6353444
3.0,4800.0,800.0,45.5713636,0.7653849,1.9772395,45.2569037,9.9164392,10.0386337,0.5051317,0.3993115,6.5337094
4.0,4800.0,800.0,71.6307826,0.7570234,2.2976783,70.3330373,9.9555085,10.4682187,0.65846,0.4389447,9.8411703
4.0,4800.0,800.0,65.7279144,0.7709127,2.7180678,65.6753229,9.9344144,10.5819738,0.6831102,0.4652827,10.16258
4.0,4800.0,800.0,65.8047272,0.8332114,2.1576165,63.454534,9.9016148,10.9988799,0.6878926,0.4937844,9.9109363
2.0,5000.0,0.0,44.0611899,0.7077145,1.2491139,42.9943053,12.119567,20.3435085,0.5682309,0.549567,4.0700471
2.0,5000.0,0.0,43.9785007,0.6938269,0.9886399,43.2712334,12.1375717,21.7933704,0.5691882,0.6359506,4.5524009
2.0,5000.0,0.0,45.072612,0.7526453,1.0073796,44.0084321,11.6177405,20.3392368,0.6243802,0.654525,4.9772641
3.0,5000.0,0.0,67.8129002,0.8063268,2.7489206,67.927318,12.0047561,21.0639762,0.8176337,0.9104856,4.2920656
3.0,5000.0,0.0,69.1068908,0.8269844,2.8643098,69.0193296,12.1218075,21.3167943,0.9106006,0.9527332,4.5267033
3.0,5000.0,0.0,67.0203711,0.8062629,2.321649,68.4405447,12.1307288,21.2050521,0.9097313,0.9488418,5.2134205
4.0,5000.0,0.0,94.1079009,0.7832239,2.6646542,95.0429573,12.0779019,22.0593946,1.1661933,1.7714598,4.2731243
4.0,5000.0,0.0,97.3828249,0.808244,2.2575321,94.5158312,12.0944883,22.0830227,1.126704,1.7479176,4.6957099
