wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GO,GP,GS,BS,RND
2.0,1000.0,0.0,133393.0,133509.0,133393.0,133393.0,146871.0,149882.0,133748.0,133748.0,155089.0
2.0,1000.0,0.0,139332.0,127771.0,127625.0,139332.0,142193.0,147759.0,128103.0,128103.0,154636.0
2.0,1000.0,0.0,144705.0,122285.0,122234.0,144705.0,137011.0,145813.0,122642.0,122642.0,153311.0
3.0,1000.0,0.0,160135.0,161049.0,160179.0,160135.0,175608.0,178325.0,161722.0,161722.0,186591.0
3.0,1000.0,0.0,155239.0,156245.0,155337.0,155239.0,172047.0,175028.0,156725.0,156725.0,186186.0
3.0,1000.0,0.0,150216.0,151066.0,150301.0,150216.0,167656.0,169523.0,151449.0,151449.0,185278.0
4.0,1000.0,0.0,179122.0,182021.0,179260.0,179122.0,194908.0,194270.0,182200.0,182200.0,206461.0
4.0,1000.0,0.0,181685.0,176683.0,174709.0,181685.0,191578.0,191096.0,181068.0,181068.0,206229.0
4.0,1000.0,0.0,172410.0,171418.0,169772.0,172410.0,187355.0,187336.0,179700.0,179700.0,205283.0
2.0,1200.0,200.0,117908.0,118069.0,117956.0,117908.0,127447.0,129823.0,118035.0,118182.0,144563.0
2.0,1200.0,200.0,113530.0,113621.0,113514.0,113530.0,123243.0,127849.0,113676.0,113720.0,143840.0
2.0,1200.0,200.0,126286.0,109798.0,109723.0,126286.0,118323.0,121058.0,109872.0,109943.0,141067.0
3.0,1200.0,200.0,143213.0,146397.0,143797.0,143213.0,153829.0,153030.0,147027.0,146594.0,174157.0
3.0,1200.0,200.0,140519.0,141775.0,140575.0,140519.0,151173.0,150829.0,141784.0,141339.0,173838.0
3.0,1200.0,200.0,136109.0,136661.0,136114.0,136109.0,148097.0,148822.0,136933.0,135895.0,172902.0
4.0,1200.0,200.0,162424.0,164702.0,164702.0,162424.0,173589.0,173275.0,167099.0,167475.0,193324.0
4.0,1200.0,200.0,160310.0,160506.0,160506.0,160310.0,171232.0,172276.0,166810.0,162658.0,193170.0
4.0,1200.0,200.0,157694.0,155712.0,155712.0,157694.0,168283.0,169806.0,172991.0,157063.0,192615.0
2.0,2000.0,0.0,135493.0,136032.0,135549.0,135493.0,148153.0,147867.0,135918.0,135918.0,155186.0
2.0,2000.0,0.0,140712.0,130393.0,130042.0,140712.0,143837.0,144859.0,130296.0,130296.0,154796.0
