wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GO,GP,GS,BS,RND
2.0,1000.0,0.0,132689.0,133012.0,132700.0,132689.0,147438.0,150040.0,133187.0,133187.0,155143.0
2.0,1000.0,0.0,138457.0,127335.0,127103.0,138457.0,142097.0,147936.0,138943.0,138943.0,154679.0
2.0,1000.0,0.0,143897.0,121994.0,121900.0,143897.0,135977.0,145602.0,144738.0,144738.0,153398.0
3.0,1000.0,0.0,159675.0,160584.0,159691.0,159675.0,173792.0,177540.0,161809.0,161809.0,186657.0
3.0,1000.0,0.0,154487.0,155768.0,154468.0,154487.0,170063.0,173565.0,160183.0,160183.0,186241.0
3.0,1000.0,0.0,149384.0,150805.0,149390.0,149384.0,165858.0,169077.0,159002.0,159002.0,185374.0
4.0,1000.0,0.0,178589.0,181225.0,178557.0,178589.0,194206.0,193896.0,181702.0,181702.0,206561.0
4.0,1000.0,0.0,181395.0,176513.0,174343.0,181395.0,190920.0,190583.0,176607.0,176607.0,206251.0
4.0,1000.0,0.0,171822.0,171216.0,169478.0,171822.0,187072.0,186469.0,171724.0,171724.0,205490.0
2.0,1200.0,200.0,117737.0,117865.0,117688.0,117737.0,127109.0,129437.0,117799.0,117979.0,144518.0
2.0,1200.0,200.0,113494.0,113488.0,113429.0,113494.0,121509.0,127269.0,122448.0,113744.0,143716.0
2.0,1200.0,200.0,126068.0,109664.0,109603.0,126068.0,115573.0,120987.0,126642.0,109806.0,141171.0
3.0,1200.0,200.0,142482.0,146014.0,142878.0,142482.0,153353.0,152705.0,146232.0,145999.0,174120.0
3.0,1200.0,200.0,139559.0,140973.0,139623.0,139559.0,151105.0,150797.0,146698.0,140451.0,173957.0
3.0,1200.0,200.0,135587.0,135730.0,135384.0,135587.0,147993.0,148438.0,147215.0,135087.0,173034.0
4.0,1200.0,200.0,161659.0,164276.0,164276.0,161659.0,173219.0,172644.0,166153.0,166736.0,193399.0
4.0,1200.0,200.0,159549.0,159739.0,159739.0,159549.0,170522.0,171520.0,161583.0,161736.0,193242.0
4.0,1200.0,200.0,156691.0,155518.0,155518.0,156691.0,166635.0,169361.0,156864.0,156470.0,192691.0
2.0,2000.0,0.0,136237.0,136659.0,136270.0,136237.0,148742.0,148487.0,136685.0,136685.0,155155.0
2.0,2000.0,0.0,141156.0,131389.0,131095.0,141156.0,144591.0,146145.0,131421.0,131421.0,154710.0
2.0,2000.0,0.0,145740.0,126015.0,125856.0,145740.0,138792.0,143604.0,126058.0,126058.0,153406.0
3.0,2000.0,0.0,161710.0,164227.0,162165.0,161710.0,177247.0,176718.0,164542.0,164542.0,186583.0
3.0,2000.0,0.0,157485.0,159797.0,157464.0,157485.0,173788.0,174465.0,159694.0,159694.0,186310.0
3.0,2000.0,0.0,152748.0,154828.0,152668.0,152748.0,169333.0,170833.0,154562.0,154562.0,185254.0
4.0,2000.0,0.0,178916.0,182772.0,179617.0,178916.0,196296.0,195501.0,184838.0,184838.0,206506.0
4.0,2000.0,0.0,178219.0,178965.0,174885.0,178219.0,193615.0,191975.0,183768.0,183768.0,206248.0
4.0,2000.0,0.0,173411.0,174439.0,170972.0,173411.0,190018.0,187887.0,182366.0,182366.0,205396.0
2.0,2400.0,400.0,120307.0,120855.0,120346.0,120307.0,128710.0,129404.0,120779.0,120933.0,144641.0
2.0,2400.0,400.0,116063.0,116391.0,115999.0,116063.0,124535.0,128458.0,116344.0,116530.0,143782.0
2.0,2400.0,400.0,112051.0,112084.0,111921.0,112051.0,119243.0,124831.0,112082.0,112210.0,141084.0
3.0,2400.0,400.0,145174.0,148059.0,145446.0,145174.0,155375.0,153948.0,148869.0,149477.0,174128.0
3.0,2400.0,400.0,142903.0,143731.0,142700.0,142903.0,152614.0,151586.0,144606.0,144428.0,173745.0
3.0,2400.0,400.0,139106.0,139453.0,138716.0,139106.0,149489.0,148784.0,139488.0,139174.0,172900.0
4.0,2400.0,400.0,163226.0,165849.0,165849.0,163226.0,174896.0,173474.0,169231.0,170373.0,193413.0
4.0,2400.0,400.0,160577.0,161911.0,160609.0,160577.0,173020.0,171961.0,170065.0,165472.0,193211.0
4.0,2400.0,400.0,159177.0,157328.0,157328.0,159177.0,169902.0,169953.0,168036.0,160524.0,192662.0
2.0,3000.0,0.0,137778.0,138401.0,137861.0,137778.0,150433.0,147745.0,138610.0,138610.0,155023.0
2.0,3000.0,0.0,132778.0,133213.0,132864.0,132778.0,146694.0,144860.0,133309.0,133309.0,154593.0
2.0,3000.0,0.0,127612.0,127878.0,127626.0,127612.0,141824.0,141792.0,128026.0,128026.0,153176.0
3.0,3000.0,0.0,159755.0,166102.0,160561.0,159755.0,179265.0,175175.0,166870.0,166870.0,186423.0
3.0,3000.0,0.0,161285.0,161331.0,157794.0,161285.0,175801.0,172583.0,162021.0,162021.0,186102.0
3.0,3000.0,0.0,154089.0,156147.0,153727.0,154089.0,171984.0,170084.0,156932.0,156932.0,185113.0
4.0,3000.0,0.0,173609.0,181144.0,175108.0,173609.0,198429.0,194811.0,188087.0,188087.0,206368.0
4.0,3000.0,0.0,171579.0,177661.0,171338.0,171579.0,195978.0,191242.0,183949.0,183949.0,206058.0
4.0,3000.0,0.0,169221.0,174384.0,169616.0,169221.0,192428.0,187191.0,179631.0,179631.0,205274.0
2.0,3600.0,600.0,121255.0,122386.0,121511.0,121255.0,129935.0,128872.0,122507.0,122671.0,144493.0
2.0,3600.0,600.0,117513.0,117919.0,117506.0,117513.0,126075.0,127198.0,117902.0,118003.0,143601.0
2.0,3600.0,600.0,113048.0,113224.0,113088.0,113048.0,120902.0,124284.0,113346.0,113368.0,141026.0
3.0,3600.0,600.0,145301.0,147709.0,145050.0,145301.0,155906.0,154603.0,150765.0,151262.0,174007.0
3.0,3600.0,600.0,142571.0,144116.0,142419.0,142571.0,153364.0,151639.0,146005.0,146214.0,173656.0
3.0,3600.0,600.0,139454.0,140683.0,138928.0,139454.0,150330.0,148683.0,141065.0,141147.0,172765.0
4.0,3600.0,600.0,159388.0,164863.0,159807.0,159388.0,176238.0,173857.0,170766.0,172439.0,193202.0
4.0,3600.0,600.0,156523.0,160259.0,158183.0,156523.0,173847.0,171672.0,166366.0,167720.0,193059.0
4.0,3600.0,600.0,154811.0,157200.0,153375.0,154811.0,170955.0,169374.0,162243.0,162798.0,192501.0
2.0,4000.0,0.0,138842.0,140086.0,139154.0,138842.0,151519.0,147878.0,140197.0,140197.0,155100.0
2.0,4000.0,0.0,142863.0,134861.0,134108.0,142863.0,148012.0,145331.0,134634.0,134634.0,154639.0
2.0,4000.0,0.0,128971.0,129342.0,128960.0,128971.0,143462.0,142489.0,129336.0,129336.0,153312.0
3.0,4000.0,0.0,159517.0,167418.0,159370.0,159517.0,180467.0,175706.0,170597.0,170597.0,186581.0
3.0,4000.0,0.0,155749.0,164056.0,155999.0,155749.0,177371.0,173015.0,165432.0,165432.0,186181.0
3.0,4000.0,0.0,153268.0,158693.0,153291.0,153268.0,173946.0,170802.0,159040.0,159040.0,185247.0
4.0,4000.0,0.0,171127.0,181786.0,171158.0,171127.0,199844.0,194985.0,188786.0,188786.0,206474.0
4.0,4000.0,0.0,170618.0,179398.0,168807.0,170618.0,197365.0,191931.0,187530.0,187530.0,206182.0
4.0,4000.0,0.0,169942.0,175540.0,167658.0,169942.0,194046.0,187836.0,186049.0,186049.0,205276.0
2.0,4800.0,800.0,120999.0,123292.0,121870.0,120999.0,130685.0,129312.0,123990.0,123765.0,144584.0
2.0,4800.0,800.0,117649.0,118902.0,118154.0,117649.0,127047.0,127595.0,118974.0,119165.0,143707.0
2.0,4800.0,800.0,113912.0,114098.0,113696.0,113912.0,122017.0,124792.0,114338.0,114388.0,141023.0
3.0,4800.0,800.0,144720.0,147011.0,147011.0,144720.0,156198.0,155190.0,151750.0,152640.0,174101.0
3.0,4800.0,800.0,141951.0,143340.0,143340.0,141951.0,153855.0,152225.0,147429.0,147790.0,173771.0
3.0,4800.0,800.0,139011.0,141560.0,138133.0,139011.0,150914.0,148994.0,144617.0,142605.0,172793.0
4.0,4800.0,800.0,157864.0,164974.0,158016.0,157864.0,176266.0,173833.0,171130.0,173779.0,193332.0
4.0,4800.0,800.0,154993.0,162390.0,155189.0,154993.0,174251.0,172021.0,170873.0,169045.0,193165.0
4.0,4800.0,800.0,153408.0,159458.0,159458.0,153408.0,171571.0,169611.0,169980.0,164199.0,192566.0
2.0,5000.0,0.0,138044.0,140182.0,138798.0,138044.0,152080.0,147033.0,142125.0,142125.0,155077.0
2.0,5000.0,0.0,134200.0,135213.0,134448.0,134200.0,149023.0,143694.0,135360.0,135360.0,154611.0
2.0,5000.0,0.0,129917.0,129845.0,129456.0,129917.0,144530.0,140403.0,130048.0,130048.0,153291.0
3.0,5000.0,0.0,155219.0,164456.0,154881.0,155219.0,181575.0,174436.0,169476.0,169476.0,186492.0
3.0,5000.0,0.0,153636.0,160858.0,153466.0,153636.0,178693.0,171197.0,163747.0,163747.0,186157.0
3.0,5000.0,0.0,150219.0,157775.0,150700.0,150219.0,175205.0,168511.0,158831.0,158831.0,185189.0
4.0,5000.0,0.0,165393.0,175927.0,165909.0,165393.0,199960.0,194050.0,189546.0,189546.0,206369.0
4.0,5000.0,0.0,164428.0,173637.0,163867.0,164428.0,197879.0,190337.0,184728.0,184728.0,206091.0
4.0,5000.0,0.0,163329.0,170312.0,162645.0,163329.0,194664.0,186390.0,180691.0,180691.0,205230.0
2.0,6000.0,1000.0,120091.0,123448.0,120832.0,120091.0,131015.0,128819.0,125766.0,124138.0,144511.0
2.0,6000.0,1000.0,117376.0,118901.0,117516.0,117376.0,127754.0,126399.0,119366.0,119377.0,143602.0
2.0,6000.0,1000.0,113507.0,114130.0,113505.0,113507.0,122732.0,123177.0,114419.0,114413.0,140948.0
3.0,6000.0,1000.0,141350.0,148731.0,142332.0,141350.0,156139.0,154188.0,152407.0,152951.0,174022.0
3.0,6000.0,1000.0,139620.0,144419.0,139457.0,139620.0,153657.0,150899.0,146543.0,148195.0,173727.0
3.0,6000.0,1000.0,137391.0,142046.0,137423.0,137391.0,150418.0,147978.0,141749.0,143165.0,172757.0
4.0,6000.0,1000.0,154521.0,159144.0,153225.0,154521.0,175207.0,172553.0,171483.0,174111.0,193178.0
4.0,6000.0,1000.0,153437.0,158110.0,152132.0,153437.0,173595.0,170156.0,165567.0,169548.0,193060.0
4.0,6000.0,1000.0,150112.0,154720.0,149845.0,150112.0,170858.0,166998.0,161898.0,164787.0,192417.0
2.0,6000.0,0.0,135931.0,140840.0,136764.0,135931.0,152385.0,147031.0,141816.0,141816.0,155145.0
2.0,6000.0,0.0,133771.0,135972.0,134167.0,133771.0,149024.0,143337.0,136236.0,136236.0,154692.0
2.0,6000.0,0.0,129455.0,130779.0,130135.0,129455.0,144807.0,140005.0,130877.0,130877.0,153326.0
3.0,6000.0,0.0,151716.0,162245.0,152687.0,151716.0,181354.0,174294.0,171282.0,171282.0,186695.0
3.0,6000.0,0.0,152732.0,159075.0,151307.0,152732.0,178580.0,171571.0,165422.0,165422.0,186376.0
3.0,6000.0,0.0,148856.0,158453.0,149102.0,148856.0,174610.0,168763.0,160998.0,160998.0,185374.0
4.0,6000.0,0.0,162071.0,172360.0,162483.0,162071.0,199853.0,193565.0,190347.0,190347.0,206639.0
4.0,6000.0,0.0,160687.0,170704.0,161524.0,160687.0,197485.0,190570.0,185848.0,185848.0,206444.0
4.0,6000.0,0.0,159700.0,170462.0,160315.0,159700.0,194087.0,186510.0,181883.0,181883.0,205602.0
2.0,7200.0,1200.0,119738.0,124100.0,121003.0,119738.0,130753.0,128617.0,125616.0,125147.0,144653.0
2.0,7200.0,1200.0,117039.0,119730.0,117968.0,117039.0,127380.0,126082.0,120110.0,120296.0,143716.0
2.0,7200.0,1200.0,113919.0,114819.0,113811.0,113919.0,122270.0,123519.0,114917.0,115092.0,141049.0
3.0,7200.0,1200.0,139749.0,149433.0,149433.0,139749.0,155768.0,154733.0,152319.0,154236.0,174201.0
3.0,7200.0,1200.0,138938.0,144903.0,138334.0,138938.0,153520.0,151206.0,147165.0,149447.0,173912.0
3.0,7200.0,1200.0,135586.0,142676.0,137121.0,135586.0,150251.0,147522.0,142612.0,144171.0,172987.0
4.0,7200.0,1200.0,152182.0,157951.0,150502.0,152182.0,174692.0,172205.0,170415.0,175162.0,193592.0
4.0,7200.0,1200.0,151459.0,158924.0,151341.0,151459.0,172812.0,169682.0,166328.0,170973.0,193382.0
4.0,7200.0,1200.0,148955.0,156714.0,148096.0,148955.0,169672.0,167212.0,162234.0,166223.0,192773.0
2.0,7000.0,0.0,134179.0,141325.0,134907.0,134179.0,152646.0,146463.0,142835.0,142835.0,155172.0
2.0,7000.0,0.0,132587.0,136554.0,133627.0,132587.0,149557.0,143140.0,136816.0,136816.0,154703.0
2.0,7000.0,0.0,130470.0,131282.0,130424.0,130470.0,145427.0,139347.0,131524.0,131524.0,153344.0
3.0,7000.0,0.0,149056.0,157607.0,149530.0,149056.0,181933.0,173771.0,172011.0,172011.0,186654.0
3.0,7000.0,0.0,148651.0,155888.0,149016.0,148651.0,178839.0,170658.0,165539.0,165539.0,186296.0
3.0,7000.0,0.0,148617.0,157542.0,146921.0,148617.0,175188.0,167977.0,160695.0,160695.0,185321.0
4.0,7000.0,0.0,158367.0,168947.0,159384.0,158367.0,200092.0,193083.0,193142.0,193142.0,206539.0
