wareh,capacity,buffer,CHIM,CHI,GS,BS,RND
2.0,10000.0,0.0,1.279674e6,1.279766e6,1.279916e6,1.279916e6,1.551178e6
2.0,10000.0,0.0,1.218374e6,1.218434e6,1.345381e6,1.345381e6,1.546763e6
2.0,10000.0,0.0,1.164611e6,1.16459e6,1.411276e6,1.411276e6,1.532958e6
3.0,10000.0,0.0,1.553393e6,1.55445e6,1.554647e6,1.554647e6,1.866276e6
3.0,10000.0,0.0,1.498691e6,1.499417e6,1.512554e6,1.512554e6,1.862849e6
3.0,10000.0,0.0,1.443392e6,1.443939e6,1.464965e6,1.464965e6,1.852884e6
4.0,10000.0,0.0,1.764009e6,1.756279e6,1.754194e6,1.754194e6,2.065513e6
4.0,10000.0,0.0,1.709757e6,1.712852e6,1.715002e6,1.715002e6,2.062745e6
4.0,10000.0,0.0,1.655837e6,1.657755e6,1.670581e6,1.670581e6,2.054765e6
2.0,12000.0,2000.0,1.133614e6,1.134113e6,1.133713e6,1.133364e6,1.446072e6
2.0,12000.0,2000.0,1.092394e6,1.092406e6,1.182116e6,1.092235e6,1.437157e6
2.0,12000.0,2000.0,1.060427e6,1.060474e6,1.231683e6,1.060333e6,1.410643e6
3.0,12000.0,2000.0,1.419013e6,1.419013e6,1.419962e6,1.404068e6,1.741315e6
3.0,12000.0,2000.0,1.353815e6,1.330728e6,1.364115e6,1.348319e6,1.738451e6
3.0,12000.0,2000.0,1.302991e6,1.279034e6,1.308666e6,1.293755e6,1.729208e6
4.0,12000.0,2000.0,1.621154e6,1.588469e6,1.62187e6,1.615545e6,1.935119e6
4.0,12000.0,2000.0,1.567171e6,1.567171e6,1.570288e6,1.560605e6,1.932239e6
4.0,12000.0,2000.0,1.513503e6,1.513503e6,1.528581e6,1.505556e6,1.926037e6
2.0,20000.0,0.0,1.280229e6,1.280612e6,1.280369e6,1.280369e6,1.55072e6
2.0,20000.0,0.0,1.218863e6,1.218939e6,1.218415e6,1.218415e6,1.546216e6
2.0,20000.0,0.0,1.165372e6,1.165576e6,1.164833e6,1.164833e6,1.532576e6
3.0,20000.0,0.0,1.605003e6,1.556245e6,1.565515e6,1.565515e6,1.865353e6
3.0,20000.0,0.0,1.543559e6,1.512514e6,1.501415e6,1.501415e6,1.862001e6
3.0,20000.0,0.0,1.444641e6,1.445417e6,1.445885e6,1.445885e6,1.851885e6
4.0,20000.0,0.0,1.81594e6,1.760884e6,1.756652e6,1.756652e6,2.064407e6
4.0,20000.0,0.0,1.77354e6,1.717851e6,1.70939e6,1.70939e6,2.061719e6
4.0,20000.0,0.0,1.727646e6,1.674119e6,1.652407e6,1.652407e6,2.053758e6
2.0,24000.0,4000.0,1.134486e6,1.134873e6,1.134869e6,1.133711e6,1.445595e6
2.0,24000.0,4000.0,1.093187e6,1.093559e6,1.092637e6,1.092526e6,1.436706e6
2.0,24000.0,4000.0,1.061007e6,1.061122e6,1.060414e6,1.060359e6,1.410188e6
3.0,24000.0,4000.0,1.427612e6,1.387839e6,1.422766e6,1.404351e6,1.740833e6
3.0,24000.0,4000.0,1.363967e6,1.363967e6,1.366003e6,1.348288e6,1.73779e6
3.0,24000.0,4000.0,1.308829e6,1.305259e6,1.310465e6,1.294109e6,1.728189e6
4.0,24000.0,4000.0,1.660452e6,1.613523e6,1.609978e6,1.614736e6,1.933687e6
4.0,24000.0,4000.0,1.598811e6,1.551823e6,1.569561e6,1.559822e6,1.931451e6
4.0,24000.0,4000.0,1.563085e6,1.531209e6,1.510201e6,1.50529e6,1.925641e6
2.0,30000.0,0.0,1.280974e6,1.281102e6,1.283261e6,1.283261e6,1.550984e6
2.0,30000.0,0.0,1.219538e6,1.219648e6,1.218574e6,1.218574e6,1.546468e6
2.0,30000.0,0.0,1.1661e6,1.166384e6,1.164921e6,1.164921e6,1.532945e6
3.0,30000.0,0.0,1.556487e6,1.558677e6,1.557799e6,1.557799e6,1.865937e6
3.0,30000.0,0.0,1.501989e6,1.503911e6,1.500031e6,1.500031e6,1.862543e6
3.0,30000.0,0.0,1.446814e6,1.447751e6,1.444255e6,1.444255e6,1.852633e6
4.0,30000.0,0.0,1.815728e6,1.764206e6,1.759445e6,1.759445e6,2.065186e6
4.0,30000.0,0.0,1.735492e6,1.722854e6,1.702502e6,1.702502e6,2.062445e6
4.0,30000.0,0.0,1.654172e6,1.658e6,1.651656e6,1.651656e6,2.05442e6
2.0,36000.0,6000.0,1.135511e6,1.136457e6,1.138369e6,1.134184e6,1.445786e6
2.0,36000.0,6000.0,1.094013e6,1.094415e6,1.093059e6,1.092864e6,1.436916e6
2.0,36000.0,6000.0,1.061458e6,1.061699e6,1.060711e6,1.060582e6,1.41052e6
3.0,36000.0,6000.0,1.421826e6,1.427462e6,1.422389e6,1.406253e6,1.741589e6
3.0,36000.0,6000.0,1.36558e6,1.353282e6,1.364312e6,1.349845e6,1.73844e6
3.0,36000.0,6000.0,1.30996e6,1.307202e6,1.308658e6,1.294992e6,1.728901e6
4.0,36000.0,6000.0,1.629617e6,1.595441e6,1.612033e6,1.617019e6,1.934551e6
4.0,36000.0,6000.0,1.565466e6,1.56236e6,1.558115e6,1.562626e6,1.932408e6
4.0,36000.0,6000.0,1.508626e6,1.508626e6,1.506703e6,1.507634e6,1.926131e6
2.0,40000.0,0.0,1.531541e6,1.282102e6,1.285565e6,1.285565e6,1.550373e6
2.0,40000.0,0.0,1.538616e6,1.22104e6,1.219501e6,1.219501e6,1.545815e6
2.0,40000.0,0.0,1.166352e6,1.166422e6,1.16567e6,1.16567e6,1.532212e6
3.0,40000.0,0.0,1.758717e6,1.560287e6,1.561396e6,1.561396e6,1.864737e6
3.0,40000.0,0.0,1.74648e6,1.504624e6,1.499224e6,1.499224e6,1.861382e6
3.0,40000.0,0.0,1.740481e6,1.449428e6,1.444793e6,1.444793e6,1.851431e6
4.0,40000.0,0.0,1.907872e6,1.770238e6,1.761572e6,1.761572e6,2.063691e6
4.0,40000.0,0.0,1.879186e6,1.727076e6,1.704373e6,1.704373e6,2.060914e6
4.0,40000.0,0.0,1.659214e6,1.661699e6,1.652212e6,1.652212e6,2.05282e6
2.0,48000.0,8000.0,1.341473e6,1.145859e6,1.141114e6,1.134258e6,1.445205e6
2.0,48000.0,8000.0,1.336611e6,1.100739e6,1.093813e6,1.093014e6,1.436213e6
2.0,48000.0,8000.0,1.062127e6,1.06294e6,1.061478e6,1.060767e6,1.409981e6
3.0,48000.0,8000.0,1.497194e6,1.412429e6,1.424265e6,1.405606e6,1.740359e6
3.0,48000.0,8000.0,1.475768e6,1.358277e6,1.364235e6,1.349582e6,1.737203e6
3.0,48000.0,8000.0,1.518638e6,1.308689e6,1.308983e6,1.295198e6,1.72788e6
4.0,48000.0,8000.0,1.737739e6,1.603516e6,1.612686e6,1.616764e6,1.932849e6
4.0,48000.0,8000.0,1.72881e6,1.563681e6,1.558706e6,1.562209e6,1.931003e6
4.0,48000.0,8000.0,1.710062e6,1.535776e6,1.506568e6,1.506713e6,1.924815e6
2.0,50000.0,0.0,1.309961e6,1.283335e6,1.285946e6,1.285946e6,1.551008e6
2.0,50000.0,0.0,1.221758e6,1.222076e6,1.220508e6,1.220508e6,1.54656e6
2.0,50000.0,0.0,1.168024e6,1.168325e6,1.167054e6,1.167054e6,1.532941e6
3.0,50000.0,0.0,1.584895e6,1.566696e6,1.567752e6,1.567752e6,1.865857e6
3.0,50000.0,0.0,1.504819e6,1.507996e6,1.501096e6,1.501096e6,1.862574e6
3.0,50000.0,0.0,1.449712e6,1.452171e6,1.445934e6,1.445934e6,1.85261e6
4.0,50000.0,0.0,1.84159e6,1.772343e6,1.768694e6,1.768694e6,2.065052e6
4.0,50000.0,0.0,1.709941e6,1.718565e6,1.706819e6,1.706819e6,2.062213e6
4.0,50000.0,0.0,1.658344e6,1.66579e6,1.65493e6,1.65493e6,2.054219e6
2.0,60000.0,10000.0,1.168545e6,1.138808e6,1.142034e6,1.13565e6,1.445741e6
2.0,60000.0,10000.0,1.096099e6,1.096446e6,1.095038e6,1.094355e6,1.43703e6
2.0,60000.0,10000.0,1.063784e6,1.064094e6,1.063146e6,1.062578e6,1.410183e6
3.0,60000.0,10000.0,1.418993e6,1.420042e6,1.425937e6,1.407936e6,1.741283e6
3.0,60000.0,10000.0,1.367865e6,1.358319e6,1.365563e6,1.351888e6,1.738106e6
3.0,60000.0,10000.0,1.312027e6,1.311143e6,1.310114e6,1.296736e6,1.728738e6
4.0,60000.0,10000.0,1.662248e6,1.614804e6,1.614698e6,1.619373e6,1.933983e6
4.0,60000.0,10000.0,1.56307e6,1.56307e6,1.559321e6,1.564527e6,1.932381e6
4.0,60000.0,10000.0,1.511834e6,1.511834e6,1.507497e6,1.509003e6,1.926052e6
2.0,60000.0,0.0,1.283318e6,1.284001e6,1.287832e6,1.287832e6,1.550257e6
2.0,60000.0,0.0,1.222144e6,1.22255e6,1.219868e6,1.219868e6,1.545723e6
2.0,60000.0,0.0,1.168655e6,1.168882e6,1.166685e6,1.166685e6,1.531963e6
3.0,60000.0,0.0,1.56097e6,1.565136e6,1.572556e6,1.572556e6,1.864452e6
3.0,60000.0,0.0,1.505584e6,1.509814e6,1.50113e6,1.50113e6,1.86109e6
3.0,60000.0,0.0,1.450512e6,1.453788e6,1.446477e6,1.446477e6,1.85104e6
4.0,60000.0,0.0,1.761636e6,1.77497e6,1.77201e6,1.77201e6,2.06304e6
4.0,60000.0,0.0,1.710323e6,1.721133e6,1.707151e6,1.707151e6,2.060432e6
4.0,60000.0,0.0,1.658831e6,1.667345e6,1.655472e6,1.655472e6,2.052388e6
2.0,72000.0,12000.0,1.137729e6,1.139195e6,1.144368e6,1.1353e6,1.444978e6
2.0,72000.0,12000.0,1.096613e6,1.097567e6,1.095348e6,1.094656e6,1.436104e6
2.0,72000.0,12000.0,1.064477e6,1.065095e6,1.063006e6,1.062379e6,1.409651e6
3.0,72000.0,12000.0,1.42425e6,1.399258e6,1.431383e6,1.407695e6,1.740077e6
3.0,72000.0,12000.0,1.367815e6,1.358283e6,1.365739e6,1.351047e6,1.736801e6
3.0,72000.0,12000.0,1.312344e6,1.31113e6,1.310345e6,1.296637e6,1.727474e6
4.0,72000.0,12000.0,1.620146e6,1.613984e6,1.618177e6,1.617678e6,1.932323e6
4.0,72000.0,12000.0,1.564273e6,1.564273e6,1.559421e6,1.563726e6,1.930821e6
