wareh,capacity,buffer,CHIM,CHI,GS,BS,RND
2.0,10000.0,0.0,4.8159443,8.1902439,5.4838215,4.5794979,16.4410022
2.0,10000.0,0.0,4.4956299,6.6805007,4.1715509,5.0670073,26.2673748
2.0,10000.0,0.0,10.7445661,20.5220786,14.3047405,5.1273908,22.4696306
3.0,10000.0,0.0,4.9942218,12.5529381,9.02465,8.3198105,56.2690056
3.0,10000.0,0.0,5.2372038,10.4059202,7.7139532,7.769851,24.7991953
3.0,10000.0,0.0,3.7150312,7.2168596,5.3798011,5.6062181,19.7294221
4.0,10000.0,0.0,4.002234,11.1210959,8.0377094,7.9630108,25.2126302
4.0,10000.0,0.0,4.7171854,7.3213656,7.2994154,7.0389478,22.2197865
4.0,10000.0,0.0,4.5821914,12.7075921,8.1560174,8.6463807,30.1043055
2.0,12000.0,2000.0,7.8502003,19.0736491,6.3900727,3.9705155,41.4510692
2.0,12000.0,2000.0,5.7585362,6.7138661,4.3638895,3.5199457,42.1031889
2.0,12000.0,2000.0,7.0030411,12.001398,4.2475981,3.138254,44.7228563
3.0,12000.0,2000.0,7.5355616,10.7431902,5.6535518,4.8669895,79.5044704
3.0,12000.0,2000.0,7.1654758,17.8509811,6.582032,5.2209426,66.5286403
3.0,12000.0,2000.0,6.4932033,15.0414624,6.6316758,5.2822632,69.1957954
4.0,12000.0,2000.0,6.6396878,17.3703833,7.3877266,5.7591915,111.1630035
4.0,12000.0,2000.0,10.1107826,30.0323818,12.8689499,9.4579417,136.3650268
4.0,12000.0,2000.0,6.9738586,24.3626903,13.0912272,12.3942083,156.6726518
2.0,20000.0,0.0,9.2935838,34.4861087,55.830251,53.2375163,159.5243975
2.0,20000.0,0.0,12.6774578,38.359312,57.2861126,39.6835211,191.3269211
2.0,20000.0,0.0,9.1073691,24.333163,42.76204,62.9966694,187.6437244
3.0,20000.0,0.0,12.5297336,43.553768,84.4798346,92.3103115,141.7713189
3.0,20000.0,0.0,12.688819,36.6049535,72.1170192,75.6183059,180.2002645
3.0,20000.0,0.0,11.1824367,41.8042556,64.4243027,89.7066088,61.1474968
4.0,20000.0,0.0,9.7703632,60.3320023,113.2136158,127.6344726,72.7912988
4.0,20000.0,0.0,9.7705128,47.8656167,102.0806331,101.4788116,56.4953241
