wareh,capacity,buffer,CHIM,CHI,GS,BS,RND
2.0,10000.0,0.0,4.7379887,7.193046,4.9699723,4.5694433,17.0132067
2.0,10000.0,0.0,3.5243297,5.6326487,4.2956611,5.0241579,19.3522039
2.0,10000.0,0.0,5.633363,9.6808053,6.1951527,6.7542774,26.7493194
3.0,10000.0,0.0,4.2071129,7.3172914,7.4458193,6.8092356,27.2382318
3.0,10000.0,0.0,7.282942,12.3773875,9.3873244,9.4125228,30.9160633
3.0,10000.0,0.0,4.7962535,8.3308727,5.9214732,6.1157658,21.2310553
4.0,10000.0,0.0,3.6680631,7.5219959,7.3596108,8.1384629,29.538468
4.0,10000.0,0.0,4.4122615,10.5159449,8.0611183,8.0521347,24.3555199
4.0,10000.0,0.0,6.1310782,19.3381889,11.7089017,12.1796195,44.874168
2.0,12000.0,2000.0,4.7968375,6.3170029,4.9966157,3.4149091,38.9322311
2.0,12000.0,2000.0,5.009994,10.0854779,4.8827018,3.7032836,41.4445307
2.0,12000.0,2000.0,4.7626362,12.8210233,5.0515242,4.1165618,43.6752564
3.0,12000.0,2000.0,5.7871305,7.1142235,6.1832966,4.8360839,73.0236472
3.0,12000.0,2000.0,4.9949655,21.5668866,5.6408116,4.9084725,72.2072428
3.0,12000.0,2000.0,7.6391885,31.6355467,8.8565588,7.3303509,103.2047367
4.0,12000.0,2000.0,4.758579,11.9906897,7.3241733,5.0310591,129.3216436
4.0,12000.0,2000.0,5.6565007,15.1724254,8.7751724,6.252459,125.0314265
4.0,12000.0,2000.0,6.553592,16.9126383,9.215161,7.2517942,135.2371548
2.0,20000.0,0.0,15.2013396,31.2560507,21.2762036,20.6964875,172.4876751
2.0,20000.0,0.0,9.9492036,21.2670258,14.4098792,14.3758488,154.4782994
2.0,20000.0,0.0,9.1230158,26.4724209,16.1512806,15.908604,158.8551589
3.0,20000.0,0.0,10.3394774,20.1390541,20.8756928,22.846836,151.0863683
3.0,20000.0,0.0,12.0548191,31.2273535,21.0726081,20.3887158,213.1335934
3.0,20000.0,0.0,17.4555296,31.0346318,16.7016791,17.6174182,64.2250139
4.0,20000.0,0.0,17.1728037,61.4586831,28.406249,29.96999,62.2020355
4.0,20000.0,0.0,10.6552998,40.2552821,24.1231759,24.9031081,54.0868859
4.0,20000.0,0.0,10.2311475,35.264152,22.8645768,22.727315,81.9930836
2.0,24000.0,4000.0,18.7750941,32.638359,17.5378263,13.512208,113.9735985
2.0,24000.0,4000.0,24.2613068,36.9088936,17.3284468,12.3625497,101.9243903
2.0,24000.0,4000.0,16.6565193,27.4650634,13.6654001,10.2293022,139.1281235
3.0,24000.0,4000.0,20.3738866,77.1366239,22.1767338,17.6793952,125.3928003
3.0,24000.0,4000.0,19.2880828,58.8950076,19.8087682,14.4254171,115.4618319
3.0,24000.0,4000.0,17.8515609,29.2492283,18.9763548,13.5481963,119.1973556
4.0,24000.0,4000.0,21.2862336,136.958507,27.5302623,19.8243881,173.2405523
4.0,24000.0,4000.0,25.4230861,61.0500596,31.3799519,18.9448723,177.8052168
4.0,24000.0,4000.0,18.1371524,44.5887506,28.758513,22.193517,198.6180231
2.0,30000.0,0.0,20.1145967,75.646475,30.7889272,34.9735209,104.1872021
2.0,30000.0,0.0,18.6792299,81.225775,29.8297814,25.9311756,122.9654596
2.0,30000.0,0.0,23.8065328,84.3010108,28.3316661,30.5284828,126.2553351
3.0,30000.0,0.0,29.9423804,81.8916366,50.1123556,43.0938639,128.3107881
3.0,30000.0,0.0,24.6584284,112.2523736,51.9408011,46.5916067,114.0705735
3.0,30000.0,0.0,28.0003277,130.0179679,45.0812828,46.3556415,124.874
4.0,30000.0,0.0,24.6093813,118.6136796,57.0032467,60.1471493,108.0597055
4.0,30000.0,0.0,21.1701146,133.2777572,59.6912882,65.6825966,121.7615253
4.0,30000.0,0.0,20.6249589,128.8434704,55.2621776,51.6612742,125.9223796
2.0,36000.0,6000.0,46.8697581,70.472229,29.7178893,21.7619223,168.3897935
2.0,36000.0,6000.0,32.1834939,51.3185833,29.1238009,22.357132,200.6731572
2.0,36000.0,6000.0,32.4986182,48.1717296,38.5017321,27.0593098,199.6980695
3.0,36000.0,6000.0,38.316993,123.7535733,47.2070754,29.1253,203.8945538
3.0,36000.0,6000.0,36.4779807,149.7548341,49.4252219,34.8602714,216.2600532
3.0,36000.0,6000.0,37.8650148,159.8175308,47.7803121,34.1041667,184.722251
4.0,36000.0,6000.0,57.6185617,114.6011601,73.5677133,49.349946,282.4790104
4.0,36000.0,6000.0,37.8169189,112.9662546,64.748196,41.7698171,256.0122168
4.0,36000.0,6000.0,53.3831827,152.0994748,63.6882662,43.9721828,257.9874563
2.0,40000.0,0.0,30.7789055,198.3232664,151.138381,68.0243024,188.3194291
2.0,40000.0,0.0,33.7648451,115.1550264,96.2398401,129.6218682,214.3276249
2.0,40000.0,0.0,32.7704619,163.1369354,99.4590952,144.028079,255.4767477
3.0,40000.0,0.0,39.2519687,200.485924,89.9112048,133.22498,181.9955353
3.0,40000.0,0.0,39.6818394,162.6618722,165.8816676,99.7258808,238.7020486
3.0,40000.0,0.0,33.4354163,167.3914311,99.5517623,93.1235414,205.2721989
4.0,40000.0,0.0,51.1114644,208.0411935,126.6054114,225.974123,189.0535903
4.0,40000.0,0.0,36.5192212,226.688077,247.2230125,148.6330001,229.0827539
4.0,40000.0,0.0,36.3880722,253.9451162,256.3547479,189.6271865,242.8166377
2.0,48000.0,8000.0,65.6608555,103.1853908,71.2049567,68.7598462,351.2094828
2.0,48000.0,8000.0,61.2395797,104.7211207,78.1428305,73.1501275,300.9620062
2.0,48000.0,8000.0,68.9672382,105.1983383,118.4375303,72.9947485,344.3444953
3.0,48000.0,8000.0,83.1639331,231.3145735,125.5265036,93.0021897,295.5707383
3.0,48000.0,8000.0,88.133688,285.7188157,160.2023777,197.5013767,297.5368958
3.0,48000.0,8000.0,96.4101509,363.4385941,141.5238016,97.1011998,289.0478735
4.0,48000.0,8000.0,110.0757213,205.7146622,127.6771642,86.4481895,349.8330713
4.0,48000.0,8000.0,86.4579601,184.3121975,134.9874211,99.4379689,370.2128869
4.0,48000.0,8000.0,104.4580022,257.1540145,134.8393909,95.713478,375.2937292
2.0,50000.0,0.0,54.6882449,260.9314767,174.5751631,206.8541387,284.8632849
2.0,50000.0,0.0,46.0044507,286.6387952,236.1690003,260.2163809,309.6457877
2.0,50000.0,0.0,49.5019251,229.8854452,79.3091104,98.8290214,316.4559765
3.0,50000.0,0.0,54.8603308,283.4662818,158.6098777,139.2329363,361.2527412
3.0,50000.0,0.0,67.5528015,274.1946267,155.2164073,124.2092383,292.6967485
3.0,50000.0,0.0,55.9064344,316.7245171,118.0914855,115.073963,411.7309448
4.0,50000.0,0.0,53.0309381,325.4003467,163.8830075,358.8796007,290.3133628
4.0,50000.0,0.0,58.6897034,369.727441,156.5166188,233.4694065,361.456702
4.0,50000.0,0.0,60.993246,382.3051679,194.8249428,245.1728979,347.9032643
2.0,60000.0,10000.0,87.6856254,152.1221441,123.6797278,89.8584594,432.3788402
2.0,60000.0,10000.0,97.0103732,254.6118612,88.7303974,66.2558644,405.3973668
2.0,60000.0,10000.0,104.3354827,278.7566222,229.6696718,118.818267,584.5019642
3.0,60000.0,10000.0,101.9392123,507.2150803,145.0689631,86.7307275,464.5642654
3.0,60000.0,10000.0,107.1774134,242.5529874,162.2153419,91.1382315,452.3031299
3.0,60000.0,10000.0,113.9792308,477.1592507,301.0271383,127.2517644,439.6063616
4.0,60000.0,10000.0,100.1760171,334.8085857,265.9443503,165.5306142,505.8601694
4.0,60000.0,10000.0,101.1537701,326.5858108,327.6291519,110.1035489,521.5247898
4.0,60000.0,10000.0,103.8599553,355.8734746,218.2644698,141.9049201,461.1682257
2.0,60000.0,0.0,101.0420149,394.185443,244.1435794,264.7266624,376.0544916
2.0,60000.0,0.0,62.9733388,379.2105755,190.0650298,225.4454879,485.5014442
2.0,60000.0,0.0,62.9555195,334.4405706,343.6689024,408.8425231,500.7274105
3.0,60000.0,0.0,77.5593802,412.9509034,315.455616,355.9306784,384.8413252
3.0,60000.0,0.0,82.1595576,413.7169827,425.7790355,338.4961965,404.6650714
3.0,60000.0,0.0,79.1106146,408.7759382,449.3322058,249.5875792,441.0796272
4.0,60000.0,0.0,74.1305929,539.6766694,289.117038,386.1870186,428.6016078
4.0,60000.0,0.0,69.7072236,432.1181805,892.0625631,533.79159,413.1108953
4.0,60000.0,0.0,81.2070774,669.7904321,655.3878235,437.8515251,464.1419533
2.0,72000.0,12000.0,224.1893193,327.1945571,167.7805895,125.2315303,568.782894
2.0,72000.0,12000.0,171.7069218,248.4021662,258.0352441,150.424665,571.5851039
2.0,72000.0,12000.0,164.9635095,251.2833199,244.9037649,118.4429323,614.9502097
3.0,72000.0,12000.0,157.2632919,541.8136998,321.7544822,157.2702987,539.2489996
3.0,72000.0,12000.0,174.7108873,554.1162161,270.3591221,211.2303436,536.5205465
3.0,72000.0,12000.0,171.5223201,659.7818626,268.7631666,161.7554918,546.5684318
4.0,72000.0,12000.0,183.2874471,523.9953028,486.0482757,296.794318,590.4131509
4.0,72000.0,12000.0,154.402632,397.5919603,441.4308369,217.4475662,623.304931
4.0,72000.0,12000.0,181.3351963,503.1196701,496.8267656,371.6786039,646.1021723
2.0,70000.0,0.0,93.673868,486.3179573,308.9420114,211.5653028,527.4872008
2.0,70000.0,0.0,83.3418823,465.6052124,330.2896324,174.8007741,545.8143864
2.0,70000.0,0.0,91.2954842,446.5830861,221.9109289,170.6743008,603.210219
3.0,70000.0,0.0,90.5615245,558.9829717,371.3595575,310.2497525,513.0255665
3.0,70000.0,0.0,83.9585915,587.4692968,328.8089868,317.2551349,561.67096
3.0,70000.0,0.0,96.6193027,518.7892219,319.2705806,305.7514789,605.7579166
4.0,70000.0,0.0,95.3127297,629.3771923,597.3962703,713.6816406,515.1383252
4.0,70000.0,0.0,132.4372653,780.5922859,676.9269282,395.638874,567.7413043
4.0,70000.0,0.0,99.1104127,750.0912579,423.0012507,636.7085348,609.1827971
2.0,84000.0,14000.0,159.8080924,378.4348256,268.5221234,205.1796673,734.019035
2.0,84000.0,14000.0,164.3607752,332.4851776,209.0741559,161.9667545,743.7821056
2.0,84000.0,14000.0,168.121108,425.2393935,273.7696093,356.0163335,814.8972403
3.0,84000.0,14000.0,232.5555392,812.1312725,459.1755982,262.8208943,756.4396194
3.0,84000.0,14000.0,230.9150829,773.9648657,313.8500806,252.9691324,724.9153724
3.0,84000.0,14000.0,242.241676,830.5260509,471.6302705,284.4857897,732.4662974
4.0,84000.0,14000.0,210.2161799,819.7876005,535.4402223,400.763509,758.0022314
4.0,84000.0,14000.0,189.6258735,670.7028348,544.8782143,434.8526178,755.8095832
4.0,84000.0,14000.0,226.7278915,764.6667197,501.0823711,290.2502771,774.0903551
