wareh,capacity,buffer,CHIM,CHI,GS,BS,RND
2.0,10000.0,0.0,1.321939e6,1.300454e6,1.444629e6,1.444629e6,1.550608e6
2.0,10000.0,0.0,1.294121e6,1.277992e6,1.391696e6,1.391696e6,1.546171e6
2.0,10000.0,0.0,1.269369e6,1.256715e6,1.338668e6,1.338668e6,1.532362e6
3.0,10000.0,0.0,1.465179e6,1.436449e6,1.725334e6,1.725334e6,1.865189e6
3.0,10000.0,0.0,1.443753e6,1.423042e6,1.678644e6,1.678644e6,1.862008e6
3.0,10000.0,0.0,1.433468e6,1.411533e6,1.629344e6,1.629344e6,1.852117e6
4.0,10000.0,0.0,1.549376e6,1.517013e6,1.922722e6,1.922722e6,2.064347e6
4.0,10000.0,0.0,1.537569e6,1.506781e6,1.888442e6,1.888442e6,2.061835e6
4.0,10000.0,0.0,1.51971e6,1.494547e6,1.87017e6,1.87017e6,2.053798e6
2.0,12000.0,2000.0,1.182761e6,1.164972e6,1.266432e6,1.273773e6,1.445601e6
2.0,12000.0,2000.0,1.172133e6,1.162887e6,1.212434e6,1.225574e6,1.436802e6
2.0,12000.0,2000.0,1.141114e6,1.133785e6,1.159812e6,1.170842e6,1.410354e6
3.0,12000.0,2000.0,1.337382e6,1.328322e6,1.509415e6,1.570598e6,1.740815e6
3.0,12000.0,2000.0,1.336889e6,1.325498e6,1.468586e6,1.523062e6,1.737397e6
3.0,12000.0,2000.0,1.32886e6,1.315679e6,1.428957e6,1.47293e6,1.728361e6
4.0,12000.0,2000.0,1.428406e6,1.416129e6,1.705469e6,1.784682e6,1.933908e6
4.0,12000.0,2000.0,1.43094e6,1.417587e6,1.666739e6,1.742768e6,1.931934e6
4.0,12000.0,2000.0,1.422884e6,1.405069e6,1.626036e6,1.696273e6,1.925483e6
2.0,20000.0,0.0,1.257778e6,1.24116e6,1.46066e6,1.46066e6,1.550672e6
2.0,20000.0,0.0,1.244685e6,1.234082e6,1.410127e6,1.410127e6,1.546154e6
2.0,20000.0,0.0,1.222021e6,1.208593e6,1.358475e6,1.358475e6,1.532671e6
3.0,20000.0,0.0,1.366305e6,1.341469e6,1.753314e6,1.753314e6,1.865043e6
3.0,20000.0,0.0,1.351988e6,1.338168e6,1.703089e6,1.703089e6,1.861938e6
3.0,20000.0,0.0,1.358004e6,1.321041e6,1.654132e6,1.654132e6,1.851867e6
4.0,20000.0,0.0,1.416494e6,1.396222e6,1.945291e6,1.945291e6,2.064013e6
4.0,20000.0,0.0,1.421468e6,1.387355e6,1.901182e6,1.901182e6,2.061286e6
4.0,20000.0,0.0,1.413721e6,1.381958e6,1.863324e6,1.863324e6,2.053411e6
2.0,24000.0,4000.0,1.159669e6,1.147226e6,1.261912e6,1.289238e6,1.445598e6
2.0,24000.0,4000.0,1.135738e6,1.114263e6,1.213437e6,1.242801e6,1.436481e6
2.0,24000.0,4000.0,1.133842e6,1.119802e6,1.164762e6,1.186548e6,1.410176e6
3.0,24000.0,4000.0,1.284935e6,1.26445e6,1.522694e6,1.593622e6,1.740772e6
3.0,24000.0,4000.0,1.274684e6,1.24922e6,1.464506e6,1.54658e6,1.737389e6
3.0,24000.0,4000.0,1.255857e6,1.244416e6,1.431167e6,1.494489e6,1.728118e6
4.0,24000.0,4000.0,1.339372e6,1.330368e6,1.706179e6,1.803824e6,1.933279e6
4.0,24000.0,4000.0,1.356469e6,1.327465e6,1.667942e6,1.762697e6,1.931353e6
4.0,24000.0,4000.0,1.337891e6,1.315009e6,1.62396e6,1.716599e6,1.924893e6
2.0,30000.0,0.0,1.236001e6,1.218545e6,1.472273e6,1.472273e6,1.550909e6
2.0,30000.0,0.0,1.225088e6,1.208118e6,1.418289e6,1.418289e6,1.546369e6
2.0,30000.0,0.0,1.209883e6,1.195579e6,1.367265e6,1.367265e6,1.532954e6
3.0,30000.0,0.0,1.339844e6,1.316063e6,1.764847e6,1.764847e6,1.865825e6
3.0,30000.0,0.0,1.32689e6,1.309333e6,1.710181e6,1.710181e6,1.862398e6
3.0,30000.0,0.0,1.322578e6,1.297557e6,1.660736e6,1.660736e6,1.852407e6
4.0,30000.0,0.0,1.39143e6,1.367925e6,1.961356e6,1.961356e6,2.065177e6
4.0,30000.0,0.0,1.397412e6,1.363827e6,1.90634e6,1.90634e6,2.062347e6
4.0,30000.0,0.0,1.386555e6,1.360439e6,1.865902e6,1.865902e6,2.054228e6
2.0,36000.0,6000.0,1.129992e6,1.125007e6,1.273392e6,1.296276e6,1.445734e6
2.0,36000.0,6000.0,1.126318e6,1.121968e6,1.218983e6,1.249637e6,1.436843e6
2.0,36000.0,6000.0,1.116932e6,1.113177e6,1.167487e6,1.190932e6,1.410404e6
3.0,36000.0,6000.0,1.263895e6,1.249735e6,1.517809e6,1.599836e6,1.741239e6
3.0,36000.0,6000.0,1.25394e6,1.234997e6,1.464741e6,1.552191e6,1.738369e6
3.0,36000.0,6000.0,1.247727e6,1.22008e6,1.431993e6,1.499209e6,1.728861e6
4.0,36000.0,6000.0,1.343073e6,1.300705e6,1.708038e6,1.808072e6,1.934162e6
4.0,36000.0,6000.0,1.334789e6,1.296877e6,1.666991e6,1.767605e6,1.932586e6
4.0,36000.0,6000.0,1.331724e6,1.290524e6,1.6293e6,1.722437e6,1.926104e6
2.0,40000.0,0.0,1.232521e6,1.213302e6,1.46893e6,1.46893e6,1.550225e6
2.0,40000.0,0.0,1.225913e6,1.207725e6,1.417377e6,1.417377e6,1.545771e6
2.0,40000.0,0.0,1.214504e6,1.193534e6,1.366379e6,1.366379e6,1.531998e6
3.0,40000.0,0.0,1.338949e6,1.308065e6,1.765128e6,1.765128e6,1.864379e6
3.0,40000.0,0.0,1.327574e6,1.304341e6,1.709766e6,1.709766e6,1.860984e6
3.0,40000.0,0.0,1.321265e6,1.299065e6,1.659759e6,1.659759e6,1.851135e6
4.0,40000.0,0.0,1.392303e6,1.360599e6,1.954309e6,1.954309e6,2.062897e6
4.0,40000.0,0.0,1.385481e6,1.358295e6,1.906018e6,1.906018e6,2.06029e6
4.0,40000.0,0.0,1.377148e6,1.350896e6,1.865273e6,1.865273e6,2.052192e6
2.0,48000.0,8000.0,1.128268e6,1.12441e6,1.268997e6,1.29414e6,1.445026e6
2.0,48000.0,8000.0,1.124934e6,1.120718e6,1.220167e6,1.247945e6,1.43609e6
2.0,48000.0,8000.0,1.117036e6,1.113302e6,1.16962e6,1.189969e6,1.409623e6
3.0,48000.0,8000.0,1.262922e6,1.245127e6,1.519881e6,1.598115e6,1.739798e6
3.0,48000.0,8000.0,1.2547e6,1.232232e6,1.464471e6,1.551239e6,1.736961e6
3.0,48000.0,8000.0,1.246977e6,1.215507e6,1.431483e6,1.49814e6,1.727116e6
4.0,48000.0,8000.0,1.335634e6,1.294784e6,1.70471e6,1.805099e6,1.932341e6
4.0,48000.0,8000.0,1.326854e6,1.289676e6,1.664663e6,1.765319e6,1.930484e6
4.0,48000.0,8000.0,1.326882e6,1.290009e6,1.630844e6,1.719921e6,1.924348e6
2.0,50000.0,0.0,1.232096e6,1.209636e6,1.471345e6,1.471345e6,1.550564e6
2.0,50000.0,0.0,1.215288e6,1.201195e6,1.419145e6,1.419145e6,1.546085e6
2.0,50000.0,0.0,1.2055e6,1.190404e6,1.36919e6,1.36919e6,1.532504e6
3.0,50000.0,0.0,1.328925e6,1.299349e6,1.767171e6,1.767171e6,1.865166e6
3.0,50000.0,0.0,1.323328e6,1.297207e6,1.714252e6,1.714252e6,1.861866e6
3.0,50000.0,0.0,1.318595e6,1.29129e6,1.665628e6,1.665628e6,1.851768e6
4.0,50000.0,0.0,1.391272e6,1.349633e6,1.959298e6,1.959298e6,2.064117e6
4.0,50000.0,0.0,1.384185e6,1.349196e6,1.911259e6,1.911259e6,2.061495e6
4.0,50000.0,0.0,1.382378e6,1.343897e6,1.870795e6,1.870795e6,2.053408e6
2.0,60000.0,10000.0,1.125637e6,1.12263e6,1.26959e6,1.296501e6,1.445287e6
2.0,60000.0,10000.0,1.121538e6,1.118611e6,1.220762e6,1.250482e6,1.436666e6
2.0,60000.0,10000.0,1.112694e6,1.110108e6,1.170205e6,1.193314e6,1.410101e6
3.0,60000.0,10000.0,1.25724e6,1.239533e6,1.515324e6,1.602168e6,1.740702e6
3.0,60000.0,10000.0,1.24977e6,1.22916e6,1.464671e6,1.554964e6,1.737528e6
3.0,60000.0,10000.0,1.243566e6,1.211009e6,1.430581e6,1.502055e6,1.727982e6
4.0,60000.0,10000.0,1.328291e6,1.283402e6,1.709249e6,1.809887e6,1.933205e6
4.0,60000.0,10000.0,1.324058e6,1.284593e6,1.667381e6,1.770159e6,1.931267e6
4.0,60000.0,10000.0,1.320955e6,1.279507e6,1.630599e6,1.725314e6,1.925364e6
2.0,60000.0,0.0,1.23325e6,1.203953e6,1.475044e6,1.475044e6,1.551089e6
