wareh,capacity,buffer,CHIM,CHI,GS,BS,RND
2.0,10000.0,0.0,1.541554e6,1.530561e6,1.549941e6,1.549941e6,1.55058e6
2.0,10000.0,0.0,1.534586e6,1.525648e6,1.540782e6,1.540782e6,1.546072e6
2.0,10000.0,0.0,1.518786e6,1.51106e6,1.523499e6,1.523499e6,1.532443e6
3.0,10000.0,0.0,1.845785e6,1.823201e6,1.864174e6,1.864174e6,1.865e6
3.0,10000.0,0.0,1.842331e6,1.8215e6,1.856379e6,1.856379e6,1.861701e6
3.0,10000.0,0.0,1.827852e6,1.810881e6,1.842443e6,1.842443e6,1.851724e6
4.0,10000.0,0.0,2.038225e6,2.009003e6,2.06243e6,2.06243e6,2.064004e6
4.0,10000.0,0.0,2.033552e6,2.007064e6,2.055917e6,2.055917e6,2.06143e6
4.0,10000.0,0.0,2.022674e6,1.997146e6,2.045823e6,2.045823e6,2.053184e6
2.0,12000.0,2000.0,1.427262e6,1.419271e6,1.435277e6,1.434996e6,1.445309e6
2.0,12000.0,2000.0,1.416451e6,1.410042e6,1.421798e6,1.421941e6,1.436556e6
2.0,12000.0,2000.0,1.388369e6,1.383196e6,1.391452e6,1.391899e6,1.409913e6
3.0,12000.0,2000.0,1.69738e6,1.69738e6,1.714741e6,1.765183e6,1.740585e6
3.0,12000.0,2000.0,1.687629e6,1.687629e6,1.700684e6,1.755245e6,1.737552e6
3.0,12000.0,2000.0,1.663974e6,1.663974e6,1.674535e6,1.735412e6,1.727989e6
4.0,12000.0,2000.0,1.888894e6,1.869756e6,1.907142e6,1.975618e6,1.9333e6
4.0,12000.0,2000.0,1.878878e6,1.878878e6,1.894684e6,1.967585e6,1.931312e6
4.0,12000.0,2000.0,1.858947e6,1.858947e6,1.87258e6,1.951626e6,1.925207e6
2.0,20000.0,0.0,1.537258e6,1.520131e6,1.548235e6,1.548235e6,1.550099e6
2.0,20000.0,0.0,1.530275e6,1.530275e6,1.537711e6,1.537711e6,1.54563e6
2.0,20000.0,0.0,1.514969e6,1.514969e6,1.518405e6,1.518405e6,1.532033e6
3.0,20000.0,0.0,1.832452e6,1.806191e6,1.861303e6,1.861303e6,1.864394e6
3.0,20000.0,0.0,1.826947e6,1.802118e6,1.85185e6,1.85185e6,1.86112e6
