dependency,skus,service_level,wareh,diff,buffer,heuristic,parcel_train,parcel_test,duration
ED,5000,1.0,2,0.0,0.0,CHIM,140596,141708,12.762403
ED,5000,1.0,2,0.0,0.0,CHI,138776,140506,0.9647771
ED,5000,1.0,2,0.0,0.0,RND,155114,155144,4.2098411
ED,5000,0.9,2,0.0,0.0,CHIM,140700,141801,0.6222131
ED,5000,0.9,2,0.0,0.0,CHI,138843,140505,0.9171571
ED,5000,0.9,2,0.0,0.0,RND,155100,155173,3.8841652
ED,5000,0.8,2,0.0,0.0,CHIM,140667,141783,0.6429095
ED,5000,0.8,2,0.0,0.0,CHI,138816,140607,0.9234507
ED,5000,0.8,2,0.0,0.0,RND,155090,155178,3.3603845
ED,5000,0.7,2,0.0,0.0,CHIM,140667,141783,0.6326835
ED,5000,0.7,2,0.0,0.0,CHI,138816,140607,0.9130309
ED,5000,0.7,2,0.0,0.0,RND,155101,155162,3.303062
ED,5000,0.6,2,0.0,0.0,CHIM,140585,141686,0.6409648
ED,5000,0.6,2,0.0,0.0,CHI,138719,140448,0.9127261
ED,5000,0.6,2,0.0,0.0,RND,155109,155169,3.2880541
ED,5000,0.5,2,0.0,0.0,CHIM,140587,141670,0.6361993
ED,5000,0.5,2,0.0,0.0,CHI,138786,140560,0.9191976
ED,5000,0.5,2,0.0,0.0,RND,155101,155186,3.2717427
ED,5000,0.4,2,0.0,0.0,CHIM,140543,141653,0.6270717
ED,5000,0.4,2,0.0,0.0,CHI,138759,140529,0.9295419
ED,5000,0.4,2,0.0,0.0,RND,155114,155176,3.2480165
ED,5000,0.3,2,0.0,0.0,CHIM,140551,141651,0.6180572
ED,5000,0.3,2,0.0,0.0,CHI,138740,140418,0.9261771
ED,5000,0.3,2,0.0,0.0,RND,155098,155153,3.2380835
ED,5000,0.2,2,0.0,0.0,CHIM,140624,141725,0.6433737
ED,5000,0.2,2,0.0,0.0,CHI,138772,140522,0.9134054
ED,5000,0.2,2,0.0,0.0,RND,155117,155146,3.2567824
ED,5000,0.1,2,0.0,0.0,CHIM,140640,141733,0.6414878
ED,5000,0.1,2,0.0,0.0,CHI,138860,140517,0.9154366
ED,5000,0.1,2,0.0,0.0,RND,155120,155168,3.2492586
ED,5000,0.09,2,0.0,0.0,CHIM,140611,141705,0.6380912
ED,5000,0.09,2,0.0,0.0,CHI,138735,140475,0.9337148
ED,5000,0.09,2,0.0,0.0,RND,155096,155153,3.2391183
ED,5000,0.08,2,0.0,0.0,CHIM,140576,141712,0.646215
ED,5000,0.08,2,0.0,0.0,CHI,138780,140530,0.9333862
ED,5000,0.08,2,0.0,0.0,RND,155114,155161,3.2393568
ED,5000,0.07,2,0.0,0.0,CHIM,140597,141714,0.6364483
ED,5000,0.07,2,0.0,0.0,CHI,138842,140507,0.9303827
ED,5000,0.07,2,0.0,0.0,RND,155099,155165,3.2701738
ED,5000,0.06,2,0.0,0.0,CHIM,140597,141710,0.6396669
ED,5000,0.06,2,0.0,0.0,CHI,138702,140394,0.9284391
ED,5000,0.06,2,0.0,0.0,RND,155089,155150,3.2606594
ED,5000,0.05,2,0.0,0.0,CHIM,140615,141728,0.626171
ED,5000,0.05,2,0.0,0.0,CHI,138821,140480,0.9672736
ED,5000,0.05,2,0.0,0.0,RND,155105,155157,3.275512
ED,5000,0.04,2,0.0,0.0,CHIM,140609,141746,0.6517191
ED,5000,0.04,2,0.0,0.0,CHI,138815,140585,0.9297148
ED,5000,0.04,2,0.0,0.0,RND,155108,155173,3.2129994
ED,5000,0.03,2,0.0,0.0,CHIM,140683,141774,0.6317586
ED,5000,0.03,2,0.0,0.0,CHI,138790,140486,0.9201961
ED,5000,0.03,2,0.0,0.0,RND,155110,155170,3.2268011
