dependency,skus,service_level,wareh,diff,buffer,heuristic,parcel_train,parcel_test,duration
EF,5000,1.0,2,0.0,0.0,CHIM,153303,155259,12.7154621
EF,5000,1.0,2,0.0,0.0,CHI,150541,155150,1.031468
EF,5000,1.0,2,0.0,0.0,RND,155099,155161,4.2775806
EF,5000,0.9,2,0.0,0.0,CHIM,153355,155206,0.6796863
EF,5000,0.9,2,0.0,0.0,CHI,150502,155147,0.9507996
EF,5000,0.9,2,0.0,0.0,RND,155070,155140,3.7760908
EF,5000,0.8,2,0.0,0.0,CHIM,153261,155184,0.6588009
EF,5000,0.8,2,0.0,0.0,CHI,150491,154886,0.9616513
EF,5000,0.8,2,0.0,0.0,RND,155086,155146,3.5370828
EF,5000,0.7,2,0.0,0.0,CHIM,153436,155454,0.7430793
EF,5000,0.7,2,0.0,0.0,CHI,150632,154877,1.0287963
EF,5000,0.7,2,0.0,0.0,RND,155111,155149,3.5414312
EF,5000,0.6,2,0.0,0.0,CHIM,153560,155351,0.7580447
EF,5000,0.6,2,0.0,0.0,CHI,150500,155056,1.0430143
EF,5000,0.6,2,0.0,0.0,RND,155108,155156,3.4210428
EF,5000,0.5,2,0.0,0.0,CHIM,153601,155361,0.7576206
EF,5000,0.5,2,0.0,0.0,CHI,150537,155116,1.0356729
EF,5000,0.5,2,0.0,0.0,RND,155092,155165,3.3169112
EF,5000,0.4,2,0.0,0.0,CHIM,153989,155335,0.7126502
EF,5000,0.4,2,0.0,0.0,CHI,150453,155195,0.9789409
EF,5000,0.4,2,0.0,0.0,RND,155093,155157,3.3993727
EF,5000,0.3,2,0.0,0.0,CHIM,154147,155261,0.6905699
EF,5000,0.3,2,0.0,0.0,CHI,150640,155090,0.9385276
EF,5000,0.3,2,0.0,0.0,RND,155086,155156,3.3549045
EF,5000,0.2,2,0.0,0.0,CHIM,154200,155260,0.690646
EF,5000,0.2,2,0.0,0.0,CHI,150426,155108,0.9499751
EF,5000,0.2,2,0.0,0.0,RND,155117,155158,3.3757201
EF,5000,0.1,2,0.0,0.0,CHIM,154305,155273,0.6905221
EF,5000,0.1,2,0.0,0.0,CHI,150513,155143,0.9377805
EF,5000,0.1,2,0.0,0.0,RND,155109,155144,3.3758674
EF,5000,0.09,2,0.0,0.0,CHIM,154259,155278,0.6921069
EF,5000,0.09,2,0.0,0.0,CHI,150357,154997,0.9338291
EF,5000,0.09,2,0.0,0.0,RND,155098,155161,3.3160262
EF,5000,0.08,2,0.0,0.0,CHIM,154296,155291,0.6783617
EF,5000,0.08,2,0.0,0.0,CHI,150477,155135,0.928008
EF,5000,0.08,2,0.0,0.0,RND,155085,155147,3.3892454
EF,5000,0.07,2,0.0,0.0,CHIM,154298,155308,0.6740617
EF,5000,0.07,2,0.0,0.0,CHI,150704,155168,0.9156758
EF,5000,0.07,2,0.0,0.0,RND,155098,155145,3.2554197
EF,5000,0.06,2,0.0,0.0,CHIM,154272,155284,0.6854059
EF,5000,0.06,2,0.0,0.0,CHI,150614,155067,0.9684601
EF,5000,0.06,2,0.0,0.0,RND,155088,155165,3.30649
EF,5000,0.05,2,0.0,0.0,CHIM,154229,155258,0.6889272
EF,5000,0.05,2,0.0,0.0,CHI,150611,155181,0.9376061
EF,5000,0.05,2,0.0,0.0,RND,155077,155162,3.3481246
EF,5000,0.04,2,0.0,0.0,CHIM,154302,155300,0.6865813
EF,5000,0.04,2,0.0,0.0,CHI,150545,155140,0.9477023
EF,5000,0.04,2,0.0,0.0,RND,155091,155160,3.2869837
EF,5000,0.03,2,0.0,0.0,CHIM,154404,155216,0.6808959
EF,5000,0.03,2,0.0,0.0,CHI,150660,155279,0.9535309
EF,5000,0.03,2,0.0,0.0,RND,155086,155156,3.3354308
EF,5000,0.02,2,0.0,0.0,CHIM,154399,155156,0.6779161
EF,5000,0.02,2,0.0,0.0,CHI,150367,155115,0.9375636
EF,5000,0.02,2,0.0,0.0,RND,155088,155163,3.3353595
EF,5000,0.01,2,0.0,0.0,CHIM,154417,155238,0.6717147
EF,5000,0.01,2,0.0,0.0,CHI,150568,155164,0.9379681
EF,5000,0.01,2,0.0,0.0,RND,155080,155175,3.2901949
EF,5000,0.009,2,0.0,0.0,CHIM,154450,155245,0.6801059
EF,5000,0.009,2,0.0,0.0,CHI,150514,155024,0.971074
EF,5000,0.009,2,0.0,0.0,RND,155105,155181,3.4205771
EF,5000,0.008,2,0.0,0.0,CHIM,154540,155275,0.7128596
EF,5000,0.008,2,0.0,0.0,CHI,150506,155017,0.9729537
EF,5000,0.008,2,0.0,0.0,RND,155103,155140,3.3141468
EF,5000,0.007,2,0.0,0.0,CHIM,154514,155291,0.6889922
EF,5000,0.007,2,0.0,0.0,CHI,150565,155120,0.9264527
EF,5000,0.007,2,0.0,0.0,RND,155098,155170,3.2988054
EF,5000,0.006,2,0.0,0.0,CHIM,154501,155255,0.6914325
EF,5000,0.006,2,0.0,0.0,CHI,150572,155039,0.9347421
EF,5000,0.006,2,0.0,0.0,RND,155090,155162,3.2560313
EF,5000,0.005,2,0.0,0.0,CHIM,154495,155269,0.672778
EF,5000,0.005,2,0.0,0.0,CHI,150689,155032,0.9192797
EF,5000,0.005,2,0.0,0.0,RND,155083,155172,3.2498887
EF,5000,0.004,2,0.0,0.0,CHIM,154501,155261,0.6733144
EF,5000,0.004,2,0.0,0.0,CHI,150527,155154,0.9386812
EF,5000,0.004,2,0.0,0.0,RND,155110,155164,3.2449917
EF,5000,0.003,2,0.0,0.0,CHIM,154324,155250,0.6885383
EF,5000,0.003,2,0.0,0.0,CHI,150551,155105,0.945865
EF,5000,0.003,2,0.0,0.0,RND,155101,155165,3.2083248
EF,5000,0.002,2,0.0,0.0,CHIM,154441,155206,0.6661596
EF,5000,0.002,2,0.0,0.0,CHI,150605,155100,0.9318699
EF,5000,0.002,2,0.0,0.0,RND,155087,155154,3.2662052
EF,5000,0.001,2,0.0,0.0,CHIM,154558,155213,0.678561
EF,5000,0.001,2,0.0,0.0,CHI,150609,155144,0.9485947
EF,5000,0.001,2,0.0,0.0,RND,155094,155163,3.25689
EF,5000,0.0009,2,0.0,0.0,CHIM,154559,155205,0.6894054
EF,5000,0.0009,2,0.0,0.0,CHI,150555,154927,0.9429918
EF,5000,0.0009,2,0.0,0.0,RND,155101,155158,3.3062663
EF,5000,0.0008,2,0.0,0.0,CHIM,154561,155223,0.678652
EF,5000,0.0008,2,0.0,0.0,CHI,150475,155160,0.9355105
EF,5000,0.0008,2,0.0,0.0,RND,155089,155148,3.2522839
EF,5000,0.0007,2,0.0,0.0,CHIM,154523,155157,0.6745323
EF,5000,0.0007,2,0.0,0.0,CHI,150713,155070,0.9188365
EF,5000,0.0007,2,0.0,0.0,RND,155090,155164,3.2674199
EF,5000,0.0006,2,0.0,0.0,CHIM,154596,155189,0.6726626
EF,5000,0.0006,2,0.0,0.0,CHI,150668,155087,0.9366352
EF,5000,0.0006,2,0.0,0.0,RND,155105,155150,3.2780863
EF,5000,0.0005,2,0.0,0.0,CHIM,154560,155199,0.6924277
EF,5000,0.0005,2,0.0,0.0,CHI,150446,155046,0.9646093
EF,5000,0.0005,2,0.0,0.0,RND,155088,155156,3.2569108
EF,5000,0.0004,2,0.0,0.0,CHIM,154584,155194,0.6664261
EF,5000,0.0004,2,0.0,0.0,CHI,150393,155189,0.9646341
EF,5000,0.0004,2,0.0,0.0,RND,155088,155152,3.2709292
EF,5000,0.0003,2,0.0,0.0,CHIM,154530,155223,0.6723552
EF,5000,0.0003,2,0.0,0.0,CHI,150552,155033,0.9370965
EF,5000,0.0003,2,0.0,0.0,RND,155091,155159,3.2087196
EF,5000,0.0002,2,0.0,0.0,CHIM,154530,155190,0.6661877
EF,5000,0.0002,2,0.0,0.0,CHI,150621,155109,0.9348485
EF,5000,0.0002,2,0.0,0.0,RND,155099,155163,3.2341943
EF,5000,0.0001,2,0.0,0.0,CHIM,154465,155190,0.6697879
EF,5000,0.0001,2,0.0,0.0,CHI,150663,155179,0.9206592
EF,5000,0.0001,2,0.0,0.0,RND,155098,155178,3.2512779
EF,5000,9.0e-5,2,0.0,0.0,CHIM,154472,155179,0.684643
EF,5000,9.0e-5,2,0.0,0.0,CHI,150569,155025,0.959538
EF,5000,9.0e-5,2,0.0,0.0,RND,155104,155163,3.2910628
EF,5000,8.0e-5,2,0.0,0.0,CHIM,154472,155179,0.6797188
EF,5000,8.0e-5,2,0.0,0.0,CHI,150569,155025,0.9293424
EF,5000,8.0e-5,2,0.0,0.0,RND,155093,155147,3.2034487
EF,5000,7.0e-5,2,0.0,0.0,CHIM,154467,155195,0.6744172
