dependency,skus,service_level,wareh,diff,buffer,heuristic,parcel_train,parcel_test,duration
HD,5000,1.0,2,0.0,0.0,CHIM,113599,114224,13.2111311
HD,5000,1.0,2,0.0,0.0,CHI,112734,113553,1.0175148
HD,5000,1.0,2,0.0,0.0,RND,155125,155073,4.6581506
HD,5000,0.9,2,0.0,0.0,CHIM,113459,114007,0.7297086
HD,5000,0.9,2,0.0,0.0,CHI,112873,113650,0.8267131
HD,5000,0.9,2,0.0,0.0,RND,155114,155108,4.0978204
HD,5000,0.8,2,0.0,0.0,CHIM,113661,114096,0.6830204
HD,5000,0.8,2,0.0,0.0,CHI,113013,113641,0.8492288
HD,5000,0.8,2,0.0,0.0,RND,155151,155080,3.5067943
HD,5000,0.7,2,0.0,0.0,CHIM,113661,114096,0.6957613
HD,5000,0.7,2,0.0,0.0,CHI,113013,113641,0.8436378
HD,5000,0.7,2,0.0,0.0,RND,155099,155075,3.4670238
HD,5000,0.6,2,0.0,0.0,CHIM,113521,113960,0.691008
HD,5000,0.6,2,0.0,0.0,CHI,113013,113641,0.8816787
HD,5000,0.6,2,0.0,0.0,RND,155126,155089,3.4465254
HD,5000,0.5,2,0.0,0.0,CHIM,113908,114470,0.70687
HD,5000,0.5,2,0.0,0.0,CHI,112688,113600,0.8278451
HD,5000,0.5,2,0.0,0.0,RND,155145,155077,3.5318211
HD,5000,0.4,2,0.0,0.0,CHIM,114136,114626,0.6837975
HD,5000,0.4,2,0.0,0.0,CHI,112938,113609,0.8834958
HD,5000,0.4,2,0.0,0.0,RND,155093,155063,3.4686805
HD,5000,0.3,2,0.0,0.0,CHIM,114182,114727,0.7264276
HD,5000,0.3,2,0.0,0.0,CHI,112700,113713,0.8573736
HD,5000,0.3,2,0.0,0.0,RND,155107,155082,3.4534474
HD,5000,0.2,2,0.0,0.0,CHIM,113463,114149,0.7044334
HD,5000,0.2,2,0.0,0.0,CHI,112348,113486,0.864195
HD,5000,0.2,2,0.0,0.0,RND,155097,155082,3.5104088
HD,5000,0.1,2,0.0,0.0,CHIM,113744,114191,0.7001298
HD,5000,0.1,2,0.0,0.0,CHI,112832,113517,0.8321611
HD,5000,0.1,2,0.0,0.0,RND,155104,155098,3.5256826
HD,5000,0.09,2,0.0,0.0,CHIM,113831,114427,0.7158405
HD,5000,0.09,2,0.0,0.0,CHI,112678,113470,0.8857885
HD,5000,0.09,2,0.0,0.0,RND,155089,155100,3.4185524
HD,5000,0.08,2,0.0,0.0,CHIM,113191,113776,0.7093783
HD,5000,0.08,2,0.0,0.0,CHI,112471,113474,0.8528151
HD,5000,0.08,2,0.0,0.0,RND,155125,155088,3.4485793
HD,5000,0.07,2,0.0,0.0,CHIM,113189,113881,0.7167568
HD,5000,0.07,2,0.0,0.0,CHI,112631,113682,0.8765794
HD,5000,0.07,2,0.0,0.0,RND,155125,155074,3.4041374
HD,5000,0.06,2,0.0,0.0,CHIM,113965,114755,0.7166972
HD,5000,0.06,2,0.0,0.0,CHI,112568,113706,0.951865
HD,5000,0.06,2,0.0,0.0,RND,155122,155090,3.4410093
HD,5000,0.05,2,0.0,0.0,CHIM,113577,114114,0.7061423
HD,5000,0.05,2,0.0,0.0,CHI,112619,113569,0.8655135
HD,5000,0.05,2,0.0,0.0,RND,155102,155056,3.3991236
HD,5000,0.04,2,0.0,0.0,CHIM,113711,114341,0.7055739
HD,5000,0.04,2,0.0,0.0,CHI,112637,113551,0.9080131
HD,5000,0.04,2,0.0,0.0,RND,155124,155098,3.4412205
HD,5000,0.03,2,0.0,0.0,CHIM,114268,114871,0.7107979
HD,5000,0.03,2,0.0,0.0,CHI,112892,113684,0.8923063
HD,5000,0.03,2,0.0,0.0,RND,155127,155084,3.4019616
HD,5000,0.02,2,0.0,0.0,CHIM,114620,115150,0.716196
HD,5000,0.02,2,0.0,0.0,CHI,112758,113782,0.9947666
HD,5000,0.02,2,0.0,0.0,RND,155114,155057,3.4507167
HD,5000,0.01,2,0.0,0.0,CHIM,113839,114250,0.7350346
HD,5000,0.01,2,0.0,0.0,CHI,112772,113825,0.9683939
HD,5000,0.01,2,0.0,0.0,RND,155098,155055,3.3977332
HD,5000,0.009,2,0.0,0.0,CHIM,113888,114344,0.7230469
HD,5000,0.009,2,0.0,0.0,CHI,112551,113555,0.9586469
HD,5000,0.009,2,0.0,0.0,RND,155130,155089,3.3841536
HD,5000,0.008,2,0.0,0.0,CHIM,113846,114097,0.732079
HD,5000,0.008,2,0.0,0.0,CHI,112729,113428,0.8785881
HD,5000,0.008,2,0.0,0.0,RND,155135,155084,3.391865
HD,5000,0.007,2,0.0,0.0,CHIM,113983,114435,0.7275866
HD,5000,0.007,2,0.0,0.0,CHI,112842,113601,0.8863816
HD,5000,0.007,2,0.0,0.0,RND,155093,155072,3.293892
HD,5000,0.006,2,0.0,0.0,CHIM,114134,114570,0.7172652
HD,5000,0.006,2,0.0,0.0,CHI,112753,113497,0.8842237
HD,5000,0.006,2,0.0,0.0,RND,155169,155085,3.4300606
HD,5000,0.005,2,0.0,0.0,CHIM,114567,115062,0.7390323
HD,5000,0.005,2,0.0,0.0,CHI,112611,113479,1.0115893
HD,5000,0.005,2,0.0,0.0,RND,155083,155076,3.3982162
HD,5000,0.004,2,0.0,0.0,CHIM,114067,114675,0.7145348
HD,5000,0.004,2,0.0,0.0,CHI,112692,113550,0.9802901
HD,5000,0.004,2,0.0,0.0,RND,155125,155093,3.4246544
HD,5000,0.003,2,0.0,0.0,CHIM,114087,114783,0.7308852
HD,5000,0.003,2,0.0,0.0,CHI,112663,113644,0.9426826
